municipio;clinica_estadual;consultorio_estadual;diagnose_terapia_estadual;hospital_estadual;outros_estadual;pronto_atendimento_estadual;saude_mental_estadual;ubs_estadual;unidade_movel_estadual;vigilancia_estadual;clinica_federal;consultorio_federal;diagnose_terapia_federal;hospital_federal;outros_federal;pronto_atendimento_federal;saude_mental_federal;ubs_federal;unidade_movel_federal;vigilancia_federal;clinica_municipal;consultorio_municipal;diagnose_terapia_municipal;hospital_municipal;outros_municipal;pronto_atendimento_municipal;saude_mental_municipal;ubs_municipal;unidade_movel_municipal;vigilancia_municipal;clinica_particular;consultorio_particular;diagnose_terapia_particular;hospital_particular;outros_particular;pronto_atendimento_particular;saude_mental_particular;ubs_particular;unidade_movel_particular;vigilancia_particular;clinica_total;consultorio_total;diagnose_terapia_total;hospital_total;outros_total;pronto_atendimento_total;saude_mental_total;ubs_total;unidade_movel_total;vigilancia_total
ADAMANTINA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;3.0;0.0;1.0;9.0;1.0;3.0;18.0;131.0;17.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;21.0;131.0;18.0;2.0;5.0;0.0;1.0;9.0;3.0;3.0
ADOLFO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
AGUAI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;2.0;1.0;1.0;6.0;1.0;2.0;3.0;47.0;5.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;47.0;7.0;1.0;6.0;1.0;1.0;7.0;1.0;2.0
AGUAS DA PRATA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0
AGUAS DE LINDOIA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;5.0;0.0;0.0;7.0;34.0;4.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0;34.0;4.0;1.0;4.0;0.0;1.0;5.0;0.0;0.0
AGUAS DE SANTA BARBARA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0
AGUAS DE SAO PEDRO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
AGUDOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;7.0;1.0;0.0;2.0;25.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;25.0;1.0;1.0;1.0;1.0;1.0;7.0;1.0;0.0
ALAMBARI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;4.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;4.0;1.0;0.0
ALFREDO MARCONDES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;2.0
ALTAIR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0
ALTINOPOLIS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;2.0;0.0;0.0;8.0;1.0;1.0;6.0;27.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;27.0;1.0;1.0;2.0;0.0;0.0;8.0;1.0;1.0
