instituicao;municipio;uf;populacao;coluna;conta;identificador da conta;receita_anual
Prefeitura Municipal de Bento de Abreu - SP;BENTO DE ABREU;SP;3028;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36204909.29
Prefeitura Municipal de Quatï¿½ - SP;QUATA;SP;14309;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;99514074.37
Prefeitura Municipal de Saltinho - SP;SALTINHO;SP;8498;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;53997548.55
Prefeitura Municipal de Vista Alegre do Alto - SP;VISTA ALEGRE DO ALTO;SP;9163;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;60038985.2
Prefeitura Municipal de Santa Mercedes - SP;SANTA MERCEDES;SP;2947;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28230399.55
Prefeitura Municipal de Gaviï¿½o Peixoto - SP;GAVIAO PEIXOTO;SP;4841;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;92188654.58
Prefeitura Municipal de Santa Fï¿½ do Sul - SP;SANTA FE DO SUL;SP;32796;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;294887269.31
Prefeitura Municipal de Ibitinga - SP;IBITINGA;SP;61150;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;271812624.47
Prefeitura Municipal de Balbinos - SP;BALBINOS;SP;6127;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;25763162.54
Prefeitura Municipal de Ribeirï¿½o Corrente - SP;RIBEIRAO CORRENTE;SP;4786;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44828948.12
Prefeitura Municipal de Holambra - SP;HOLAMBRA;SP;15605;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;141468595.12
Prefeitura Municipal de Rifaina - SP;RIFAINA;SP;3651;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;52416217.35
Prefeitura Municipal de Marinï¿½polis - SP;MARINOPOLIS;SP;2101;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;27558777.02
Prefeitura Municipal de Tupï¿½ - SP;TUPA;SP;65615;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;284961127.09
Prefeitura Municipal de Cï¿½ssia dos Coqueiros - SP;CASSIA DOS COQUEIROS;SP;2488;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31262251.57
Prefeitura Municipal de Barra do Chapï¿½u - SP;BARRA DO CHAPEU;SP;5794;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40993678.54
Prefeitura Municipal de Laranjal Paulista - SP;LARANJAL PAULISTA;SP;29047;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;161122522.89
Prefeitura Municipal de Inï¿½bia Paulista - SP;INUBIA PAULISTA;SP;4045;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28897317.36
Prefeitura Municipal de Santa Ernestina - SP;SANTA ERNESTINA;SP;5577;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;33952558.97
Prefeitura Municipal de Borï¿½ - SP;BORA;SP;839;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;22960849.95
Prefeitura Municipal de Teodoro Sampaio - SP;TEODORO SAMPAIO;SP;23395;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;124451758.9
Prefeitura Municipal de Sandovalina - SP;SANDOVALINA;SP;4405;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58706557.54
Prefeitura Municipal de Anhumas - SP;ANHUMAS;SP;4172;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37103371.19
Prefeitura Municipal de Guareï¿½ - SP;GUAREI;SP;19244;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;80368851.94
Prefeitura Municipal de Tanabi - SP;TANABI;SP;26231;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;133324643.88
Prefeitura Municipal de Palmital - SP;PALMITAL;SP;22322;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;139338443.27
Prefeitura Municipal de Promissï¿½o - SP;PROMISSAO;SP;41211;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;184266104.79
Prefeitura Municipal de ï¿½guas de Lindï¿½ia - SP;AGUAS DE LINDOIA;SP;18908;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;132786516.59
Prefeitura Municipal de Itaju - SP;ITAJU;SP;3937;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35780706.34
Prefeitura Municipal de Itapirapuï¿½ Paulista - SP;ITAPIRAPUA PAULISTA;SP;4294;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;34848198.39
Prefeitura Municipal de Iracemï¿½polis - SP;IRACEMAPOLIS;SP;24982;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;141433360.31
Prefeitura Municipal de ï¿½guas de Santa Bï¿½rbara - SP;AGUAS DE SANTA BARBARA;SP;6142;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58294833.6
Prefeitura Municipal de Pederneiras - SP;PEDERNEIRAS;SP;47523;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;246392985.42
Prefeitura Municipal de Santa Clara d'Oeste - SP;SANTA CLARA D'OESTE;SP;2111;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37252806.32
Prefeitura Municipal de Lutï¿½cia - SP;LUTECIA;SP;2623;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;35011807.46
