fid;osm_id;osm_type;name;healthcare;amenity;speciality;emergency;operator;operator_type;phone;website;addr_street;addr_housenumber;addr_suburb;addr_city;addr_postcode;wheelchair;longitude;latitude
4927;13689887134;node;Unidade Básica de Saúde José Stella;clinic;clinic;;;;;;;;;;;;;-47.7491332;-21.3375082
5831;414024072;way;Hospital Santa Tereza;hospital;hospital;;no;;;+55 16 3919 9029;;Avenida Adelmo Perdizza;495;;;14026-390;;-47.8286583;-21.2084116
7143;633687822;way;Hospital Estadual de Ribeirão Preto;hospital;hospital;;;;;;;;;;;;;-47.8272082;-21.2111657
6536;544837232;way;Centro de Tratamento Oncológico;hospital;hospital;;;;;;;Rua Magda Perona Frossard;;;;;;-47.82414;-21.217179
6535;544831097;way;;pharmacy;pharmacy;;;;;;;;;;;;;-47.8238283;-21.2170287
994;4201282681;node;Senerp;;doctors;;;;;;;Avenida Vereador Manir Calil;880;;;;;-47.8207873;-21.1947581
3892;12153607001;node;Drogaria Café;pharmacy;pharmacy;;;;;;;;;;;;;-47.8184988;-21.1698137
878;3962477609;node;Drogão Super;pharmacy;pharmacy;;;;;+55 16 3623-3219;;;;;;;;-47.8168458;-21.2125181
876;3962476744;node;Aurea Pharma;pharmacy;pharmacy;;;;;+55 16 3902-1292;;;;;;;;-47.8168335;-21.2127887
8127;824068202;way;Hospital Unimed Ribeirão Preto;hospital;hospital;;;;;+55 16 391-.7000;https://www.unimed.coop.br/site/web/ribeiraopreto/hospital-unimed;Rua Angelo Chaguri;105;Bonfim Paulista;Ribeirão Preto;14110-000;;-47.8162854;-21.2256678
650;3443052209;node;Hospital da Sociedade Portuguesa de Beneficência;hospital;hospital;;;;;+55 16 3977-5500;https://www.beneribeiraopreto.com/;Rua Tibiriça;1172;;;;;-47.8141445;-21.1804663
877;3962477608;node;Drogasil;pharmacy;pharmacy;;;;;+55 16 3902-1220;https://www.drogasil.com.br/;;;;;;yes;-47.8140248;-21.2113009
573;3200393027;node;Unidade Básica Distrital de Saúde Doutor João Baptista Quartin;clinic;clinic;;yes;;;"+55 16 3605-5000;+55 16 3605-5025";https://www.ribeiraopreto.sp.gov.br/ssaude/rede/central/i16central.php;Avenida Jerônimo Gonçalves;466;;;;;-47.8136536;-21.172655
2830;9216460945;node;Dimen;;clinic;;;;;;;;2125;;;;;-47.8135635;-21.195565
5915;424204428;way;Dental Tanaka;dentist;dentist;;;;;;;Rua Prudente de Moraes;418;;;;;-47.8121681;-21.1792237
5917;424204537;way;Drogão Super;pharmacy;pharmacy;;;;;;;Rua Visconde de Inhaúma;1006;;;;;-47.8120332;-21.1801106
312;2406378814;node;Clínica Vicentini;dentist;dentist;"dental_oral_maxillo_facial_surgery;orthodontics";;;;;;Rua Galileu Galilei;1685;Jardim Canada;Ribeirão Preto;14020-620;;-47.8114454;-21.2117037
7195;652140666;way;Hospital Viver;hospital;hospital;"maternity;orthopaedics;oncology;cardiology;dermatology";yes;;;+55 16 2133 6969;https://hospitalviver.com.br/;Avenida Doutor João Palma Guião;49;Alto da Boa Vista;;;;-47.8110966;-21.1986622
3530;11329231674;node;Spazio Vitta;pharmacy;pharmacy;;;;;16992027346;;Rua Marechal Deodoro;1486;Alto da Boa Vista;Ribeirão Preto;14025-386;yes;-47.8103846;-21.1888194
7196;652142146;way;;pharmacy;pharmacy;;;;;;;;;;;;;-47.8092231;-21.2013649
1012;4234293915;node;Droga Raia;pharmacy;pharmacy;;;;;+55 16 3635-7931;;Rua São Sebastião;641;Centro;Ribeirão Preto;14015-040;yes;-47.8090762;-21.1765336
7194;652140243;way;Droga Raia;pharmacy;pharmacy;;;;;;;;;;;;;-47.8089189;-21.2007357
5916;424204444;way;Drogão Super;pharmacy;pharmacy;;;;;;;Rua General Osório;602;;;;;-47.8085173;-21.176059
12;492635628;node;Hospital das Clinicas UE;hospital;hospital;;;;;;;;;;;;;-47.8084557;-21.1856911
5914;424204352;way;Sorridents;dentist;dentist;;;;;;;;;;;;;-47.8079367;-21.177704
7845;733877070;way;Consultório Dr. Takassu Sato;doctor;doctors;neurologista;;;;;;Rua Olavo Bilac;1102;Jardim América;Ribeirão Preto;14025-400;;-47.8069937;-21.1889202
327;2429432928;node;Farmácia Homeocenter;pharmacy;pharmacy;;;;;+55 16 2101-5497;https://homeocenter.com.br/;Rua Florêncio de Abreu;1112;;;;;-47.8060177;-21.1814379
142;1680866339;node;SUS Ambulatório de Geriatria;hospital;hospital;;;Sistema Único de Saúde;public;;;;;;;;;-47.8049574;-21.1697054
8091;814899414;way;Hospital São Lucas;hospital;hospital;;;;;+55 16 4009 0020;;Rua Bernardino de Campos;1426;;;14015-130;;-47.8045853;-21.1886649
1196;4550703705;node;;pharmacy;pharmacy;;;;;;;;;;;;;-47.8006946;-21.1937009
6018;440542989;way;Drogão Super;pharmacy;pharmacy;;;;;;;Avenida Francisco Junqueira;3126;;;;;-47.7982497;-21.192741
1136;4456342331;node;Drogaria Portugal;pharmacy;pharmacy;;;;;;;;;;;;;-47.7972327;-21.202456
5710;376581081;way;"Pronto Socorro da COCLândia ""Dr. Edimilson Gigante""";hospital;hospital;;;;;;;;;;;;;-47.7964899;-21.2009459
5660;363538926;way;UBS Hélio Lourenço de Oliveira;clinic;clinic;;;;;;;;;;;;;-47.7958436;-21.2062486
1843;5764023997;node;Sinhá;hospital;hospital;;;;;;;;;;;;;-47.7921099;-21.1593151
526;3050929567;node;Unidade de Pronto Atendimento;clinic;clinic;;yes;;;;;;;;;;;-47.7911808;-21.176138
9047;1064728911;way;UBS Adalberto Teixeira Andrade - Vila Recreio;clinic;clinic;;;;;;;Rua Tabatinga;320;Vila Recreio;Ribeirão Preto;;;-47.8207507;-21.146053
9105;1073755580;way;Hospital São Francisco;hospital;hospital;;yes;;;;http://www.saofrancisco.com.br;Rua Bernardino de Campos;912;;;14015-130;;-47.8092225;-21.1852991
9106;1073828257;way;Hospital Santa Lydia;hospital;hospital;;yes;;;+55 16 3605 4848;;Rua Tamandaré;434;Campos Elíseos;;14085-070;;-47.8028483;-21.1703086
9110;1074723766;way;Hospital São Paulo;hospital;hospital;;;;;;;Rua Visconde de Inhaúma;1600;;;14025-100;;-47.8158474;-21.1842848
9111;1074736121;way;Instituto Adolfo Lutz;hospital;hospital;;;;;;;Rua Minas;877;;;14085-410;;-47.8050614;-21.1700077
9328;1114727209;way;Santa Casa de Misericórdia;hospital;hospital;;yes;;;+55 16 3605 0606;https://santacasarp.com.br/;Avenida Saudade;456;Campos Elíseos;;14085-000;;-47.8056096;-21.1678194
10775;1415167221;way;Centro de Referência da Saúde da Mulher de Ribeirão Preto;hospital;hospital;;;;;;;;;;;;;-47.7915647;-21.1229531
11107;1475541259;way;Unimed Ribeirão Preto - Laboratório Unidade 1;laboratory;;;;;;+55 16 3913-7070;https://www.unimed.coop.br/site/web/ribeiraopreto;Avenida Nove de Julho;668;;Ribeirão Preto;;;-47.8118226;-21.1852228
11108;1475541260;way;Unimed Ribeirão Preto - Laboratório Unidade 2;laboratory;;;;;;+55 16 3913-7070;https://www.unimed.coop.br/site/web/ribeiraopreto/laboratorio;Rua São José;232;;Ribeirão Preto;;;-47.8206849;-21.1964989
11109;1475541262;way;Unimed Ribeirão Preto - Centro de Reabilitação;rehabilitation;;;;;;+55 16 3603-7181;https://www.unimed.coop.br/site/pt/web/ribeiraopreto/centro-de-reabilitacao-adulto;Rua Comandante Marcondes Salgado;;;Ribeirão Preto;;;-47.8122532;-21.1852297
11110;1475541263;way;Unimed Ribeirão Preto - Unidade 24h;hospital;hospital;;yes;;;+55 16 3610-1000;https://www.unimed.coop.br/site/pt/web/ribeiraopreto;Rua Visconde de Inhaúma;1600A;;Ribeirão Preto;;;-47.815821;-21.1846001
11111;1475541266;way;Unimed Ribeirão Preto - Farmácia;pharmacy;pharmacy;;;;;+55 16 3913-9333;https://www.unimed.coop.br/site/pt/web/ribeiraopreto/farmacia;Avenida Independência;1889;;Ribeirão Preto;;;-47.8108302;-21.1931411
6200;473958091;way;Hospital Ribeirânia;;hospital;;;;;;;;;;;;;-47.7868505;-21.2000234
7985;784515381;way;;clinic;clinic;fertility;;;;;;;;;;;;-47.7831727;-21.2155882
600;3311010262;node;;;pharmacy;;;;;;;;;;;;;-47.7820913;-21.1915512
1684;5377993277;node;Hospital Electro Bonini;hospital;hospital;;;;;;;;;;;;;-47.780015;-21.2009565
2881;9453502959;node;Drogaria Mais Farma;pharmacy;pharmacy;;;;;;;;;;;;;-47.7657755;-21.2153559
753;3719369671;node;Hospital Neto Campello;hospital;hospital;general;yes;;;;;Rua Elpídio Gomes;785;;;14160-620;;-47.9884022;-21.1366858
756;3719408275;node;Droga Certa;pharmacy;pharmacy;;;;;;;;;;;;;-47.9838345;-21.1423848
747;3717704844;node;Unidade Básica de Saúde Jardim Alvorada;clinic;clinic;general;;;;;;;;;;;;-47.9834984;-21.1300442
755;3719404250;node;Unidade Básica de Saúde Alto do Ginásio;clinic;clinic;general;;;;;;;;;;;;-47.9791299;-21.1397428
748;3717704846;node;Unidade Básica de Saúde Jardim Helena;clinic;clinic;general;;;;;;;;;;;;-47.9780911;-21.125901
754;3719404249;node;Drogaria Droga Mais;pharmacy;pharmacy;;;;;;;;;;;;;-47.9770217;-21.14266
7657;702164292;way;Hospital das Clínicas;hospital;hospital;general;yes;FMRP - USP;public;;https://site.hcrp.usp.br/;;;;Ribeirão Preto;;yes;-47.8530722;-21.1623065
10164;1289915366;way;Hemocentro;blood_donation;blood_bank;;;Faculdade de Medicina de Ribeirão Preto;;;https://www.hemocentro.fmrp.usp.br/;Rua Professor Hélio Lourenço;;Vila Monte Alegre;;;;-47.8487362;-21.1618586
6827;583731656;way;Clínica Civil;clinic;clinic;;;Fundação de Apoio ao Ensino, Pesquisa e Assistência do Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo;;;https://www.faepa.br/ClinicaCivil/ParticularConvenio/Apresentacao;Rua Tenente Catão Roxo;2701;Vila Monte Alegre;Ribeirão Preto;14051-140;;-47.8508933;-21.1600048
10035;1240829975;way;UPA Oeste Ribeirão Preto;yes;;;;;;+55 16 99612-3203;;Rua Teresina;678;Sumarezinho;Ribeirão Preto;14005-380;;-47.8291876;-21.1582619
6534;544821652;way;USF Cesar Augusto Arita;clinic;clinic;;;;;;;;;;;;;-47.8469259;-21.1481863
509;3039537735;node;Unidade Básica de Saúde;clinic;clinic;;;;;;;;;;;;;-47.794838;-21.1139224
749;3717717786;node;Unidade Básica de Saúde Jardim Santa Rosa;clinic;clinic;general;;;;;;;;;;;;-47.9841958;-21.1108286
10199;1300067551;way;Drogal;pharmacy;pharmacy;;;;;;;Avenida Monteiro Lobato;;;;;;-47.8367261;-21.19069
10254;1309966604;way;Serviço Odontológico da Unidade Básica de Saúde de Ribeirão Preto;;dentist;;;Universidade de São Paulo;;;;Rua Professor Pedreira de Freitas;15;;Ribeirão Preto;;;-47.8513539;-21.1693864
10255;1309966605;way;Unidade Básica de Saúde de Ribeirão Preto;;clinic;;;Universidade de São Paulo;;;;Rua Professor Pedreira de Freitas;14;;Ribeirão Preto;;;-47.8510357;-21.1692367
10804;1418753344;way;AME Ribeirão Preto;hospital;clinic;;no;;;+55 16 3919-9371;;Rua Visconde Inhomirim;1050;Vila Virgínia;;;;-47.834714;-21.188497
11041;1459811576;way;;clinic;clinic;;;;;;;;;;;;;-47.8321957;-21.1896052
2667;8462791565;node;Pronto Socorro Municipal;yes;;;;;;;;;;;;;;-48.0727811;-21.5872808
1698;5430227765;node;UBS Jardim Bela Vista;clinic;clinic;;;;;;;;;;;;;-48.0834064;-21.3578201
10282;1315334429;way;Santa Casa de Misericordia de Valparaíso;hospital;hospital;;;;;+55 18 3401 7171;https://www.santacasadevalparaiso.com.br/;Rua Bartolomeu Bueno;241;;;16880-000;;-50.8611868;-21.2306631
10128;1276350864;way;LB Clinica - Saúde e Trabalho;doctor;doctors;;;;;;;Rua Comendador Geremias Lunardelli;227;;;;;-50.8693185;-21.2212206
10281;1315334425;way;;clinic;clinic;;;;;;;Rua Padre Mauro Eduardo;;;;;;-50.8666314;-21.2206243
5653;360428392;way;"USF ""Quitéria Gomes da Silva""";;clinic;;;;;;;;;;;;;-50.578672;-22.7481709
6599;547872337;way;;clinic;clinic;;;;;;;;;;;;;-50.3750699;-22.7522103
6715;557505216;way;Drogaria Catedral;pharmacy;pharmacy;;;;;;;Rua Fadlo Jabur;634;Centro;Cândido Mota;19880-000;;-50.3875856;-22.7458204
6716;557505218;way;Santa Casa de Misericórdia de Cândido Mota;hospital;hospital;"general;gynaecology;cardiology;urology;otolaryngology;paediatrics;anaesthetics";yes;Associação de Caridade da Santa Casa de Misericórdia Imaculada Conceição;religious;+55 18 3341 9308;http://www.santacasacandidomota.com.br/;Rua Alberto Scudeler;12;Parque Prefeito  Lorival José de Almeida;Cândido Mota;19885-540;;-50.3840575;-22.7424243
8449;911329870;way;"Unidade de Saúde da Família ""Heracina Gonçalves Ferreira""";clinic;clinic;;;Prefeitura de Tarumã;public;;;Rua Pernambuco;30;Vila dos Estados;Tarumã;19820000;;-50.5728414;-22.7461209
7389;681296017;way;USF 1;clinic;clinic;general;;SUS;;;;Rua Vicente Lopes Ramon;;Centro;Anhumas;19580-000;;-51.3864745;-22.2965252
7387;681293271;way;Farmácia Popular;pharmacy;pharmacy;;;SUS;;;;Rua Vicente Lopes Ramon;;Centro;Anhumas;19580-000;;-51.3863674;-22.2961859
