municipio;instituicoes hospitalares
ADAMANTINA;20
AGUAI;10
AGUAS DE LINDOIA;10
AGUDOS;10
ALTINOPOLIS;10
ALTO ALEGRE;10
ALVARES MACHADO;10
AMERICANA;50
AMERICO BRASILIENSE;20
AMPARO;30
ANDRADINA;20
ANGATUBA;10
APARECIDA;10
APARECIDA D'OESTE;10
APIAI;10
ARACATUBA;60
ARACOIABA DA SERRA;10
ARANDU;10
ARARAQUARA;80
ARARAS;40
AREALVA;10
ARTUR NOGUEIRA;40
ARUJA;10
ASSIS;40
ATIBAIA;30
AURIFLAMA;10
AVARE;10
BARIRI;10
BARRA BONITA;10
BARRETOS;50
BARUERI;30
BASTOS;10
BATATAIS;10
BAURU;150
BEBEDOURO;40
BERNARDINO DE CAMPOS;10
BERTIOGA;10
BILAC;10
BIRIGUI;20
BOA ESPERANCA DO SUL;10
BOCAINA;10
BOITUVA;10
BORBOREMA;10
BOTUCATU;40
BRAGANCA PAULISTA;40
BROTAS;10
BURITAMA;10
CABREUVA;20
CACAPAVA;50
CACHOEIRA PAULISTA;10
CACONDE;10
CAFELANDIA;10
CAIEIRAS;30
CAJAMAR;10
CAJOBI;10
CAJURU;10
CAMPINAS;240
CAMPO LIMPO PAULISTA;10
CAMPOS DO JORDAO;20
CANDIDO MOTA;10
CAPAO BONITO;10
CAPIVARI;20
CARAGUATATUBA;30
CARAPICUIBA;20
CARDOSO;10
CASA BRANCA;20
CASTILHO;10
CATANDUVA;40
CERQUEIRA CESAR;10
CERQUILHO;10
CESARIO LANGE;10
CHARQUEADA;10
CLEMENTINA;10
COLINA;10
CONCHAL;10
CONCHAS;10
COSMOPOLIS;10
COTIA;40
CRAVINHOS;10
CRUZEIRO;10
CUBATAO;10
CUNHA;10
DESCALVADO;10
DIADEMA;40
DIVINOLANDIA;10
DOIS CORREGOS;10
DOURADO;10
DRACENA;10
DUARTINA;10
EMBU DAS ARTES;40
ESPIRITO SANTO DO PINHAL;30
ESTRELA D'OESTE;10
FARTURA;10
FERNANDOPOLIS;20
FERRAZ DE VASCONCELOS;10
FLORIDA PAULISTA;10
FRANCA;40
FRANCISCO MORATO;20
FRANCO DA ROCHA;40
GALIA;10
GARCA;20
GENERAL SALGADO;10
GETULINA;10
GUAIRA;10
GUARA;10
GUARACAI;10
GUARARAPES;10
GUARAREMA;10
GUARATINGUETA;50
GUARIBA;10
GUARUJA;40
GUARULHOS;140
HERCULANDIA;10
HORTOLANDIA;20
IACANGA;10
IBATE;10
IBIRA;10
IBITINGA;20
IBIUNA;30
IEPE;10
IGARAPAVA;10
ILHABELA;10
ILHA SOLTEIRA;10
INDAIATUBA;40
INDIAPORA;10
IPAUSSU;10
IPUA;10
ITABERA;10
ITAI;10
ITAJOBI;10
ITANHAEM;20
ITAPECERICA DA SERRA;50
ITAPETININGA;20
ITAPEVA;10
ITAPEVI;30
ITAPIRA;40
ITAPOLIS;10
ITAPORANGA;10
ITAPUI;10
ITAQUAQUECETUBA;10
ITARARE;10
ITATIBA;20
ITATINGA;10
ITIRAPINA;10
ITU;40
ITUPEVA;20
ITUVERAVA;20
JABORANDI;10
JABOTICABAL;20
JACAREI;50
JACI;10
JAGUARIUNA;10
JALES;20
JARINU;10
JAU;40
JOANOPOLIS;10
JOSE BONIFACIO;10
JUNDIAI;90
JUNQUEIROPOLIS;10
LARANJAL PAULISTA;10
LEME;20
LENCOIS PAULISTA;20
LIMEIRA;40
LINS;40
LORENA;20
LOUVEIRA;10
LUCELIA;10
MACATUBA;10
MACAUBAL;10
MAIRIPORA;10
MARACAI;10
MARILIA;60
MARTINOPOLIS;10
MATAO;10
MAUA;40
MIGUELOPOLIS;10
MIRANDOPOLIS;10
MIRASSOL;20
MOCOCA;10
MOGI DAS CRUZES;90
MOGI GUACU;30
MOGI MIRIM;30
MONGAGUA;20
MONTE ALTO;20
MONTE APRAZIVEL;10
MONTE AZUL PAULISTA;20
MONTE MOR;10
MORRO AGUDO;10
MORUNGABA;10
NAZARE PAULISTA;10
NEVES PAULISTA;10
NHANDEARA;20
NOVA EUROPA;10
NOVA GRANADA;10
NOVA ODESSA;10
NOVO HORIZONTE;10
OLIMPIA;10
ORLANDIA;10
OSASCO;60
OSVALDO CRUZ;10
OURINHOS;40
OUROESTE;10
PACAEMBU;10
PALMEIRA D'OESTE;10
PALMITAL;10
PANORAMA;10
PARAGUACU PAULISTA;10
PARANAPANEMA;10
PARAPUA;10
PARIQUERA-ACU;10
PATROCINIO PAULISTA;10
PAULINIA;10
PAULO DE FARIA;10
PEDERNEIRAS;10
PEDREGULHO;10
PEDREIRA;20
PENAPOLIS;20
PEREIRA BARRETO;10
PERUIBE;10
PIEDADE;10
PILAR DO SUL;10
PINDAMONHANGABA;20
PIRACAIA;10
