municipio;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
;Abadia de Goiás;-16,7573;-49,4412;;52;1050;62;America/Sao_Paulo
;Abadia dos Dourados;-18,4831;-47,3916;;31;4001;34;America/Sao_Paulo
;Abadiânia;-16,197;-48,7057;;52;9201;62;America/Sao_Paulo
;Abaeté;-19,1551;-45,4444;;31;4003;37;America/Sao_Paulo
;Abaetetuba;-1,72183;-48,8788;;15;401;91;America/Sao_Paulo
;Abaiara;-7,34588;-39,0416;;23;1301;88;America/Sao_Paulo
;Abaíra;-13,2488;-41,6619;;29;3301;77;America/Sao_Paulo
;Abaré;-8,72073;-39,1162;;29;3303;75;America/Sao_Paulo
;Abatiá;-23,3049;-50,3133;;41;7401;43;America/Sao_Paulo
;Abdon Batista;-27,6126;-51,0233;;42;9939;49;America/Sao_Paulo
;Abel Figueiredo;-4,95333;-48,3933;;15;375;94;America/Sao_Paulo
;Abelardo Luz;-26,5716;-52,3229;;42;8001;49;America/Sao_Paulo
;Abre Campo;-20,2996;-42,4743;;31;4005;31;America/Sao_Paulo
;Abreu e Lima;-7,90072;-34,8984;;26;2631;81;America/Sao_Paulo
;Abreulândia;-9,62101;-49,1518;;17;337;63;America/Sao_Paulo
;Acaiaca;-20,359;-43,1439;;31;4007;31;America/Sao_Paulo
;Açailândia;-4,94714;-47,5004;;21;961;99;America/Sao_Paulo
;Acajutiba;-11,6575;-38,0197;;29;3305;75;America/Sao_Paulo
;Acará;-1,95383;-48,1985;;15;403;91;America/Sao_Paulo
;Acarape;-4,22083;-38,7055;;23;1231;85;America/Sao_Paulo
;Acaraú;-2,88769;-40,1183;;23;1303;88;America/Sao_Paulo
;Acari;-6,4282;-36,6347;;24;1601;84;America/Sao_Paulo
;Acauã;-8,21954;-41,0831;;22;266;89;America/Sao_Paulo
;Aceguá;-31,8665;-54,1615;;43;1118;53;America/Sao_Paulo
;Acopiara;-6,08911;-39,448;;23;1305;88;America/Sao_Paulo
;Acorizal;-15,194;-56,3632;;51;9001;65;America/Porto_Velho
;Acrelândia;-9,82581;-66,8972;;12;643;68;America/Rio_Branco
;Acreúna;-17,396;-50,3749;;52;9645;64;America/Sao_Paulo
;Açu;-5,58362;-36,914;;24;1603;84;America/Sao_Paulo
;Açucena;-19,0671;-42,5419;;31;4009;33;America/Sao_Paulo
ADAMANTINA;Adamantina;-21,682;-51,0737;;35;6101;18;America/Sao_Paulo
;Adelândia;-16,4127;-50,1657;;52;9769;64;America/Sao_Paulo
ADOLFO;Adolfo;-21,2325;-49,6451;;35;6103;17;America/Sao_Paulo
;Adrianópolis;-24,6606;-48,9922;;41;7403;41;America/Sao_Paulo
;Adustina;-10,5437;-38,1113;;29;3253;75;America/Sao_Paulo
;Afogados da Ingazeira;-7,74312;-37,631;;26;2301;87;America/Sao_Paulo
;Afonso Bezerra;-5,49229;-36,5075;;24;1605;84;America/Sao_Paulo
;Afonso Cláudio;-20,0778;-41,1261;;32;5601;27;America/Sao_Paulo
;Afonso Cunha;-4,13631;-43,3275;;21;701;98;America/Sao_Paulo
;Afrânio;-8,51136;-41,0095;;26;2303;87;America/Sao_Paulo
;Afuá;-0,154874;-50,3861;;15;405;91;America/Sao_Paulo
;Agrestina;-8,45966;-35,9447;;26;2305;81;America/Sao_Paulo
;Agricolândia;-5,79676;-42,6664;;22;1001;86;America/Sao_Paulo
;Agrolândia;-27,4087;-49,822;;42;8003;47;America/Sao_Paulo
;Agronômica;-27,2662;-49,708;;42;8005;47;America/Sao_Paulo
;Água Azul do Norte;-6,79053;-50,4791;;15;383;94;America/Sao_Paulo
;Água Boa;-17,9914;-42,3806;;31;4011;33;America/Sao_Paulo
;Água Boa;-14,051;-52,1601;;51;9191;66;America/Porto_Velho
;Água Branca;-5,88856;-42,637;;22;1003;86;America/Sao_Paulo
;Água Branca;-7,51144;-37,6357;;25;1901;83;America/Sao_Paulo
;Água Branca;-9,262;-37,938;;27;2701;82;America/Sao_Paulo
;Água Clara;-20,4452;-52,879;;50;9003;67;America/Porto_Velho
