municipio;acoes coletivas / individuais em saude;coleta de material;diagnostico em laboratorio clinico;diagnostico por anatomia patologica e citopatologia;diagnostico por radiologia;diagnostico por ultrasonografia;diagnostico por tomografia;diagnostico por ressonancia magnetica;diagnostico por medicina nuclear in vivo;diagnostico por endoscopia;diagnostico por radiologia intervencionista;metodos diagnosticos em especialidades;diagnostico e procedimentos especiais em hemoterapia;diagnostico por teste rapido;consultas / atendimentos / acompanhamentos;fisioterapia;tratamentos clinicos (outras especialidades);tratamento em oncologia;tratamento em nefrologia;hemoterapia;tratamentos odontologicos;tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;terapias especializadas;parto e nascimento;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;cirurgia de glandulas endocrinas;cirurgia do sistema nervoso central e periferico;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia do aparelho da visao;cirurgia do aparelho circulatorio;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia do aparelho geniturinario;cirurgia de mama;cirurgia obstetrica;cirurgia toracica;cirurgia reparadora;bucomaxilofacial;outras cirurgias;cirurgia em oncologia;cirurgia em nefrologia;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;avaliacao de morte encefalica;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;acompanhamento e intercorrencias no pre e pos-transplante;medicamentos de ambito hospitalar e urgencia;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acoes relacionadas ao estabelecimento;acoes relacionadas ao atendimento;total
ADAMANTINA;;2.0;5221.0;39.0;180.0;69.0;144.0;;;6.0;;144.0;232.0;62.0;1029.0;915.0;3595.0;;30.0;107.0;;6.0;5.0;3.0;33.0;;;2.0;;;41.0;33.0;4.0;;30.0;4.0;;1.0;;;4.0;;;;;;;106.0;49.0;12.0;996.0;13104
AGUAS DE LINDOIA;;;;;17.0;28.0;;;;;;40.0;;;21.0;;60.0;1.0;3.0;19.0;;;;1.0;32.0;;;;;;6.0;4.0;;;6.0;;;;3.0;;;;;;;;;;7.0;;265.0;513
AGUDOS;;;346.0;;8.0;;;;;;;3.0;;20.0;24.0;;14.0;;;;;;;7.0;1.0;;1.0;1.0;;2.0;33.0;21.0;13.0;;15.0;;1.0;;;;;;;;;;;;8.0;;;518
ALTINOPOLIS;;;669.0;;32.0;3.0;;;;;;33.0;;288.0;936.0;53.0;84.0;;5.0;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;82.0;2202
ALTO ALEGRE;;;46.0;;5.0;;;;;;;;;2.0;11.0;;9.0;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89
ALVARES MACHADO;;;421.0;;12.0;;;;;;;32.0;;;323.0;;41.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;832
AMERICANA;;1.0;7992.0;103.0;105.0;191.0;160.0;16.0;;10.0;1.0;585.0;276.0;122.0;3591.0;3982.0;523.0;15.0;28.0;171.0;;9.0;210.0;49.0;4.0;;2.0;2.0;;;43.0;62.0;45.0;2.0;80.0;7.0;;;11.0;;4.0;;;;;;;29.0;43.0;111.0;2229.0;20814
AMERICO BRASILIENSE;;;534.0;;2.0;4.0;;;;;;7.0;;;133.0;;17.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138.0;837
AMPARO;;;6031.0;37.0;236.0;67.0;158.0;;;;;271.0;;192.0;2064.0;2472.0;4787.0;4.0;39.0;74.0;;4.0;;7.0;179.0;;;1.0;;;24.0;28.0;6.0;;47.0;4.0;;;3.0;;;;;;;;;3.0;35.0;;1098.0;17871
ANGATUBA;;;1702.0;;248.0;;;;;;;83.0;;17.0;709.0;225.0;84.0;2.0;5.0;11.0;;6.0;;7.0;;;;;;;8.0;;5.0;;11.0;;;;;;;;;;;;;;;11.0;737.0;3871
APARECIDA D'OESTE;;;8.0;;;;;;;;;;;;30.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;45
APIAI;;10.0;412.0;;68.0;3.0;;;;;;105.0;;943.0;818.0;63.0;87.0;1.0;1.0;14.0;;1.0;;9.0;139.0;;1.0;2.0;;;7.0;4.0;3.0;;12.0;;;;;;;;;;;;;16.0;;;393.0;3112
ARACATUBA;;;109.0;;;;;;;;;;;;;;1860.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1969
ARANDU;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
ARARAQUARA;;24.0;16410.0;579.0;1135.0;333.0;490.0;60.0;;61.0;28.0;868.0;;10.0;5855.0;7095.0;1050.0;251.0;103.0;233.0;;14.0;588.0;50.0;288.0;;11.0;19.0;30.0;101.0;111.0;103.0;47.0;2.0;71.0;37.0;;3.0;14.0;63.0;;4.0;4.0;6.0;;5.0;;160.0;790.0;;3225.0;40331
ARARAS;;12.0;11504.0;167.0;741.0;93.0;110.0;1.0;;12.0;;791.0;210.0;;20480.0;3170.0;161.0;86.0;43.0;156.0;;3.0;698.0;30.0;137.0;;4.0;14.0;;30.0;95.0;52.0;44.0;1.0;56.0;20.0;1.0;;9.0;8.0;3.0;;;;;;;8.0;221.0;;1895.0;41066
AREALVA;;;;;;;;;;;;;;;6.0;;8.0;;1.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;18
ARUJA;;60.0;2784.0;16.0;16.0;23.0;29.0;;;;;352.0;;220.0;2440.0;;85.0;1.0;1.0;24.0;;5.0;;30.0;;;;;;;;;4.0;;39.0;;;;;;;;;;;;;;;;2.0;6131
ASSIS;;1.0;3722.0;80.0;112.0;226.0;65.0;;;7.0;;153.0;27.0;42.0;939.0;712.0;90.0;;6.0;22.0;;3.0;66.0;16.0;663.0;;5.0;5.0;;37.0;44.0;153.0;53.0;1.0;32.0;143.0;7.0;;13.0;;;;;;;;;17.0;120.0;85.0;828.0;8495
ATIBAIA;;;3438.0;;279.0;24.0;;;;3.0;;100.0;;;961.0;;130.0;10.0;12.0;19.0;;8.0;;23.0;;;;;;;31.0;57.0;48.0;;21.0;1.0;;;;;;;;;;;;;;;528.0;5693
AURIFLAMA;;;240.0;30.0;8.0;;;;;;;7.0;;;116.0;53.0;37.0;;4.0;14.0;;;;1.0;1.0;;;;;;23.0;;30.0;2.0;6.0;;;;;;;;;;;;;;2.0;;137.0;711
AVARE;;1.0;5816.0;84.0;376.0;51.0;140.0;11.0;;1.0;;468.0;70.0;134.0;1923.0;1448.0;207.0;7.0;33.0;72.0;;13.0;6.0;45.0;1084.0;;21.0;1.0;;4.0;81.0;184.0;26.0;;30.0;7.0;6.0;;38.0;2.0;3.0;;;;;;;3.0;190.0;;1723.0;14309
BARIRI;;;2010.0;;99.0;17.0;;;;;;99.0;31.0;10.0;636.0;12.0;97.0;;3.0;30.0;;8.0;;1.0;1.0;;;;;;24.0;3.0;6.0;;9.0;1.0;;;;;;;;;;;;;;;597.0;3694
BARRA BONITA;;;1587.0;11.0;86.0;44.0;;;;2.0;;97.0;85.0;828.0;1061.0;328.0;97.0;2.0;6.0;43.0;;3.0;;5.0;45.0;1.0;;;;;19.0;17.0;1.0;;15.0;;;;2.0;;;;;;;;;19.0;24.0;;428.0;4856
BARRETOS;;4.0;11687.0;79.0;543.0;279.0;547.0;15.0;;44.0;7.0;752.0;261.0;;2263.0;2196.0;591.0;2.0;35.0;146.0;;15.0;400.0;25.0;2.0;;4.0;6.0;;48.0;48.0;106.0;27.0;;55.0;13.0;1.0;2.0;15.0;;4.0;;;;;;;48.0;306.0;5.0;1281.0;21862
BARUERI;;241.0;50628.0;202.0;835.0;385.0;650.0;;;108.0;;2842.0;389.0;28463.0;34420.0;2452.0;1353.0;43.0;144.0;385.0;;15.0;888.0;177.0;281.0;10.0;28.0;47.0;145.0;23.0;304.0;145.0;282.0;16.0;165.0;43.0;7.0;;26.0;;;;;16.0;;;;212.0;117.0;13.0;6119.0;132619
BASTOS;;;245.0;;29.0;;;;;;;;3.0;;103.0;;63.0;;1.0;3.0;;1.0;;;;;;;;;12.0;;8.0;;;;;;;;;;;;;;;;;;105.0;573
BATATAIS;;1.0;4293.0;35.0;275.0;58.0;128.0;;;;;247.0;;76.0;1749.0;1494.0;488.0;6.0;11.0;54.0;;11.0;428.0;4.0;9.0;;;2.0;102.0;;34.0;47.0;13.0;;35.0;7.0;2.0;;;;3.0;;;;;;;70.0;70.0;;734.0;10486
BAURU;;;;;;;;;;;;;;;2.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
BEBEDOURO;;;1817.0;55.0;1.0;13.0;;;;;;115.0;;1010.0;1409.0;13.0;56.0;;4.0;21.0;;;;20.0;73.0;;;;;1.0;59.0;9.0;25.0;;56.0;2.0;;;1.0;;;;;;;;;4.0;11.0;;338.0;5113
BERNARDINO DE CAMPOS;;;458.0;;13.0;;;;;;;34.0;;;513.0;;50.0;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.0;1138
BERTIOGA;;;264.0;;;;;;;;;;;66.0;1666.0;;97.0;3.0;9.0;;;3.0;;38.0;44.0;;;;19.0;;8.0;22.0;19.0;1.0;36.0;;;;;;;;;;;;;;;;319.0;2614
BILAC;;;;;;;;;;;;1.0;;;3.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
BIRIGUI;;;5274.0;43.0;497.0;;;;;;;373.0;150.0;63.0;1734.0;;169.0;;;153.0;;13.0;;30.0;1.0;;;3.0;;;28.0;79.0;21.0;;27.0;6.0;;;13.0;;;;;;;;;4.0;72.0;;1436.0;10189
BOA ESPERANCA DO SUL;;;46.0;;;;;;;;;1.0;;;10.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0;87
BOCAINA;;;49.0;;18.0;3.0;;;;;;7.0;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.0;118
BOITUVA;;45.0;1924.0;33.0;67.0;18.0;49.0;;;;;114.0;;1615.0;1095.0;189.0;97.0;;5.0;6.0;;4.0;2.0;23.0;7.0;;;;;2.0;15.0;;18.0;;28.0;1.0;;;;;;;;;;;;21.0;2.0;;382.0;5762
BOM JESUS DOS PERDOES;;;;;6.0;;;;;;;7.0;;;57.0;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.0;116
BORBOREMA;;;301.0;16.0;16.0;;;;;;;8.0;14.0;;905.0;;26.0;4.0;1.0;7.0;;1.0;;;;;;;;;7.0;;1.0;;10.0;;;;;;;;;;;;;3.0;2.0;;132.0;1454
BRAGANCA PAULISTA;;;5093.0;150.0;526.0;79.0;224.0;;;13.0;;221.0;53.0;95.0;2207.0;1207.0;181.0;2.0;8.0;34.0;;9.0;254.0;26.0;6.0;;;1.0;98.0;11.0;61.0;73.0;44.0;;63.0;10.0;;;5.0;;;;;;;;;24.0;137.0;71.0;1083.0;12069
BROTAS;;;420.0;;33.0;2.0;;;;;;29.0;;327.0;996.0;204.0;42.0;6.0;2.0;5.0;;1.0;;4.0;;;;;;;;13.0;;;7.0;;1.0;;;;;;;;;;;;7.0;;301.0;2400
BURITAMA;;;492.0;;27.0;6.0;;;;;;33.0;;;162.0;;40.0;;;;;1.0;;6.0;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;139.0;910
CACAPAVA;;2.0;1420.0;29.0;173.0;15.0;70.0;1.0;;3.0;;144.0;136.0;5109.0;1669.0;2699.0;120.0;;24.0;54.0;;5.0;;10.0;95.0;;2.0;;;4.0;34.0;20.0;18.0;;12.0;56.0;;;4.0;;4.0;;;;;;;;36.0;;1152.0;13120
CACHOEIRA PAULISTA;;;242.0;;54.0;;;;;;;20.0;;1191.0;271.0;;57.0;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.0;1863
CAFELANDIA;;;328.0;;32.0;4.0;;;;;;21.0;;;72.0;8.0;29.0;;1.0;;;1.0;;;;;;;;;;1.0;;;6.0;;;;;;;;;;;;;;;;112.0;615
CAIEIRAS;;;300.0;;;;;;;;;13.0;;;400.0;;46.0;3.0;11.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;774
CAJAMAR;;;3053.0;;217.0;17.0;99.0;;;;;133.0;;142.0;3082.0;;102.0;;;;;3.0;;24.0;;;;;;;;;46.0;;33.0;;;;;;;;;;;;;;;;;6951
CAJOBI;;;54.0;;;;;;;;;2.0;;2.0;43.0;;9.0;;;;;;;;4.0;;;1.0;;;2.0;;2.0;;2.0;;;;;;;;;;;;;;;2.0;28.0;151
CAJURU;;;1668.0;61.0;59.0;45.0;53.0;;;2.0;;62.0;60.0;;299.0;225.0;147.0;;8.0;;;11.0;;2.0;27.0;;2.0;;;;12.0;8.0;15.0;;22.0;;;;2.0;;;;;;;;;;4.0;;611.0;3405
CAMPINAS;;497.0;88141.0;2191.0;3105.0;1176.0;2380.0;235.0;;110.0;19.0;2338.0;;2380.0;43492.0;24484.0;2249.0;134.0;501.0;1131.0;;48.0;1690.0;232.0;3562.0;3.0;54.0;130.0;75.0;184.0;439.0;432.0;355.0;34.0;356.0;110.0;25.0;1.0;77.0;103.0;25.0;;;;;1.0;;766.0;1568.0;335.0;16623.0;201791
CAMPO LIMPO PAULISTA;;2.0;9103.0;25.0;523.0;49.0;181.0;;;;;148.0;;3352.0;3693.0;1663.0;162.0;2.0;27.0;29.0;;34.0;9.0;30.0;83.0;;;;;22.0;2.0;;3.0;;54.0;16.0;;;;;2.0;;;;;;;70.0;1.0;;896.0;20181
CAMPOS DO JORDAO;;;1444.0;;26.0;9.0;;;;;;64.0;;1597.0;889.0;76.0;106.0;;2.0;;;6.0;;13.0;1.0;;;;;;8.0;;14.0;;38.0;;;;;;;;;;;;;;;;426.0;4719
CANDIDO MOTA;;;632.0;64.0;34.0;20.0;;;;4.0;;15.0;;;21.0;894.0;74.0;8.0;2.0;25.0;;6.0;;4.0;3.0;;;2.0;;3.0;43.0;11.0;77.0;1.0;11.0;;;;4.0;;;;;;;;;;7.0;;396.0;2361
CAPAO BONITO;;;1580.0;;120.0;12.0;;;;2.0;;79.0;43.0;47.0;719.0;300.0;100.0;3.0;1.0;28.0;;3.0;;21.0;;;;;;;8.0;2.0;20.0;;27.0;1.0;;;;;;;;;;;;4.0;;;654.0;3774
CAPIVARI;;;3339.0;27.0;192.0;57.0;51.0;;;2.0;;261.0;;28.0;1865.0;485.0;123.0;14.0;21.0;22.0;;6.0;;18.0;95.0;;;1.0;;2.0;14.0;16.0;16.0;1.0;30.0;26.0;3.0;1.0;3.0;;3.0;;;;;;;7.0;18.0;;554.0;7301
CARAGUATATUBA;;2.0;9150.0;87.0;292.0;207.0;323.0;;;26.0;;535.0;179.0;2440.0;2309.0;1205.0;445.0;4.0;70.0;139.0;;22.0;;45.0;6.0;;1.0;2.0;8.0;12.0;49.0;59.0;53.0;4.0;104.0;9.0;2.0;1.0;17.0;;;;;;;;;51.0;78.0;118.0;1450.0;19504
CARAPICUIBA;;122.0;;;130.0;;;;;;;30.0;;;1346.0;;150.0;2.0;6.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174.0;1967
CASA BRANCA;;;478.0;14.0;27.0;14.0;;;;;;29.0;;;424.0;;56.0;;2.0;21.0;;1.0;;;87.0;;;;16.0;;21.0;18.0;9.0;;;;;;;;;;;;;;;;4.0;;69.0;1290
CASTILHO;;;140.0;;11.0;;;;;;;4.0;;;301.0;42.0;29.0;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125.0;657
CATANDUVA;;;1219.0;;;;;;;;;;;;;;3741.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4960
