internacao x tipo de servicos ou equipamentos;total;publico;privado;privado / sus
TOTAL;958;219;739;417
ANATOMIA PATOLOGICA;237;62;175;106
LABORATORIO DE ANALISES CLINICAS;526;134;392;243
ATENDIMENTO AMBULATORIAL;802;190;612;347
CIRURGIA;785;161;624;350
SADT;878;205;673;391
FISIOTERAPIA;517;116;401;236
QUIMIOTERAPIA;166;28;138;62
EMERGENCIA;760;188;572;333
UTI/CTI;455;100;355;161
UTI NEONATAL;221;60;161;74
ALTA COMPLEXIDADE - AIDS;145;35;110;55
ALTA COMPLEXIDADE - CIRURGIA CARDIACA;130;11;119;53
ALTA COMPLEXIDADE - TRANSPLANTES;93;8;85;55
PARTO;443;89;354;251
RX SIMPLES;2592;596;1996;1204
HEMODIALISE;2481;394;2087;1754
GRUPO GERADOR;1024;239;785;431
MAMOGRAFO;438;73;365;229
TOMOGRAFO;479;95;384;187
ULTRASSOM;1541;401;1140;580
VIDEO LAPAROSCOPIO;848;149;699;276
BERCO AQUECIDO;3423;1095;2328;1479
FONTE: IBGE, DIRETORIA DE PESQUISAS, COORDENACAO DE POPULACAO E INDICADORES SOCIAIS, PESQUISA DE ASSISTENCIA MEDICO-SANITARIA .;;;;
