municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em laboratorio clinico;diagnostico por radiologia;diagnostico por teste rapido;tratamentos clinicos (outras especialidades);parto e nascimento;cirurgia obstetrica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;acoes relacionadas ao atendimento;populacao;receita_anual;ids
ADAMANTINA;-21,682;-51,0737;0;0;0;2;0;0;3;18;131;0;3;99;20816;4015;5683;3181;0;7;23844;5221;180;62;3595;3;30;33;996;35153;268875962.04;0.872
ADOLFO;-21,2325;-49,6451;0;0;0;0;0;0;1;0;1;0;0;0;278;0;2010;1909;0;36;8730;0;0;0;0;0;0;0;0;3545;44259588.55;0.666
AGUAI;-22,0572;-46,9735;0;0;1;0;0;0;1;3;47;1;1;0;13200;1669;11783;5356;0;115;25434;0;0;0;0;0;0;0;0;36981;163002453.98;0.644
AGUAS DA PRATA;-21,9319;-46,7176;0;0;0;0;0;0;0;1;1;0;0;0;5756;0;1465;0;0;1129;4131;0;0;0;0;0;0;0;0;8262;49185192.57;0.595
AGUAS DE LINDOIA;-22,4733;-46,6314;0;0;0;1;0;0;0;7;34;0;0;152;9144;1521;5300;1394;0;0;3388;0;17;0;60;1;6;32;265;18908;132786516.59;0.465
AGUAS DE SANTA BARBARA;-22,8812;-49,2421;0;0;0;0;0;0;0;0;5;0;0;0;4207;1450;1139;228;0;0;2718;0;0;0;0;0;0;0;0;6142;58294833.6;0.56
AGUAS DE SAO PEDRO;-22,5977;-47,8734;0;0;0;0;0;0;0;0;2;1;0;0;2185;594;0;0;0;0;3212;0;0;0;0;0;0;0;0;3588;44629425.44;0.807
AGUDOS;-22,4694;-48,9863;0;0;0;1;0;0;2;2;25;1;1;247;18140;2892;4767;11067;0;193;52595;346;8;20;14;7;15;1;0;37582;224804259.92;0.636
ALAMBARI;-23,5503;-47,898;0;0;0;0;0;0;0;1;2;0;1;0;2421;0;1666;1656;0;466;8142;0;0;0;0;0;0;0;0;6231;41409300.99;0.631
ALFREDO MARCONDES;-21,9527;-51,414;0;0;0;0;0;0;0;0;2;0;0;0;1148;0;2027;1074;0;81;4770;0;0;0;0;0;0;0;0;4201;34058191.48;0.615
ALTAIR;-20,5242;-49,0571;0;0;0;0;0;0;1;0;1;0;1;530;527;0;1605;642;0;0;4284;0;0;0;0;0;0;0;0;4211;37448931.16;0.714
ALTINOPOLIS;-21,0214;-47,3712;0;0;0;1;0;0;3;6;27;0;1;0;4599;0;8448;3676;0;151;25730;669;32;288;84;0;0;0;82;16221;110758436.62;0.748
ALTO ALEGRE;-21,5811;-50,168;0;0;1;0;0;0;1;0;2;0;0;0;844;410;1304;1096;0;131;1419;46;5;2;9;0;0;0;0;4078;38234150.79;0.598
ALUMINIO;-23,5306;-47,2546;0;0;0;0;0;0;1;6;5;1;0;199;12790;1681;2186;0;0;865;5402;0;0;0;0;0;0;0;0;18903;140303772.35;0.503
ALVARES FLORENCE;-20,3203;-49,9141;0;0;0;0;0;0;1;0;1;0;0;0;1969;0;1627;301;0;51;195;0;0;0;0;0;0;0;0;3616;36436673.99;0.341
ALVARES MACHADO;-22,0764;-51,4722;0;0;0;1;0;0;2;3;5;0;0;870;10397;1248;5435;8989;0;77;8715;421;12;0;41;0;0;0;0;25078;117339917.67;0.373
ALVARO DE CARVALHO;-22,0841;-49,719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;1307;0;0;1564;0;0;0;0;0;0;0;0;5320;34876537.62;0.363
ALVINLANDIA;-22,4435;-49,7623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2539;228;0;11;923;0;0;0;0;0;0;0;0;3251;27864581.03;0.365
