municipio;tipo;estadual;federal;municipal;particular;total
ADAMANTINA;clinica;0;0;3;18;21
ADAMANTINA;consultorio;0;0;0;131;131
ADAMANTINA;diagnose_terapia;0;0;1;17;18
ADAMANTINA;hospital;0;0;0;2;2
ADAMANTINA;outros;0;0;3;2;5
ADAMANTINA;ubs;0;0;9;0;9
ADAMANTINA;saude_mental;0;0;1;0;1
ADAMANTINA;unidade_movel;1;0;1;1;3
ADAMANTINA;vigilancia;0;0;3;0;3
ADOLFO;clinica;0;0;1;0;1
ADOLFO;consultorio;0;0;0;1;1
ADOLFO;diagnose_terapia;0;0;0;1;1
ADOLFO;outros;0;0;1;0;1
ADOLFO;ubs;0;0;1;0;1
AGUAI;clinica;0;0;1;3;4
AGUAI;consultorio;0;0;0;47;47
AGUAI;diagnose_terapia;0;0;2;5;7
AGUAI;hospital;0;0;1;0;1
AGUAI;outros;0;0;2;4;6
AGUAI;pronto_atendimento;0;0;1;0;1
AGUAI;ubs;1;0;6;0;7
AGUAI;saude_mental;0;0;1;0;1
AGUAI;unidade_movel;0;0;1;0;1
AGUAI;vigilancia;0;0;2;0;2
AGUAS DA PRATA;clinica;0;0;0;1;1
AGUAS DA PRATA;consultorio;0;0;0;1;1
AGUAS DA PRATA;outros;0;0;1;0;1
AGUAS DA PRATA;ubs;0;0;3;0;3
AGUAS DE LINDOIA;clinica;0;0;0;7;7
AGUAS DE LINDOIA;consultorio;0;0;0;34;34
AGUAS DE LINDOIA;diagnose_terapia;0;0;0;4;4
AGUAS DE LINDOIA;hospital;0;0;0;1;1
AGUAS DE LINDOIA;outros;0;0;2;2;4
AGUAS DE LINDOIA;ubs;0;0;5;0;5
AGUAS DE LINDOIA;saude_mental;0;0;1;0;1
AGUAS DE SANTA BARBARA;consultorio;0;0;0;5;5
AGUAS DE SANTA BARBARA;diagnose_terapia;0;0;0;1;1
AGUAS DE SANTA BARBARA;outros;0;0;1;0;1
AGUAS DE SANTA BARBARA;ubs;0;0;4;0;4
AGUAS DE SAO PEDRO;consultorio;0;0;0;2;2
AGUAS DE SAO PEDRO;outros;0;0;1;0;1
AGUAS DE SAO PEDRO;pronto_atendimento;0;0;1;0;1
AGUAS DE SAO PEDRO;ubs;0;0;1;0;1
AGUDOS;clinica;0;0;2;2;4
AGUDOS;consultorio;0;0;0;25;25
AGUDOS;diagnose_terapia;0;0;0;1;1
AGUDOS;hospital;0;0;0;1;1
AGUDOS;outros;0;0;1;0;1
AGUDOS;pronto_atendimento;0;0;1;0;1
AGUDOS;ubs;0;0;7;0;7
AGUDOS;saude_mental;0;0;1;0;1
AGUDOS;unidade_movel;0;0;1;0;1
ALAMBARI;clinica;0;0;0;1;1
ALAMBARI;consultorio;0;0;0;2;2
ALAMBARI;outros;0;0;2;0;2
ALAMBARI;ubs;0;0;4;0;4
ALAMBARI;unidade_movel;0;0;1;0;1
