Instituicao;cod_ibge;UF;Populacao;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Bento de Abreu - SP;3506201;SP;3028;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;36204909,29
Prefeitura Municipal de Quatï¿½ - SP;3541703;SP;14309;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;99514074,37
Prefeitura Municipal de Saltinho - SP;3545159;SP;8498;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;53997548,55
Prefeitura Municipal de Vista Alegre do Alto - SP;3556909;SP;9163;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;60038985,2
Prefeitura Municipal de Santa Mercedes - SP;3547106;SP;2947;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;28230399,55
Prefeitura Municipal de Gaviï¿½o Peixoto - SP;3516853;SP;4841;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;92188654,58
Prefeitura Municipal de Santa Fï¿½ do Sul - SP;3546603;SP;32796;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;294887269,31
Prefeitura Municipal de Ibitinga - SP;3519600;SP;61150;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;271812624,47
Prefeitura Municipal de Balbinos - SP;3504701;SP;6127;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;25763162,54
Prefeitura Municipal de Ribeirï¿½o Corrente - SP;3543105;SP;4786;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;44828948,12
Prefeitura Municipal de Holambra - SP;3519055;SP;15605;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;141468595,12
Prefeitura Municipal de Rifaina - SP;3543600;SP;3651;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;52416217,35
Prefeitura Municipal de Marinï¿½polis - SP;3529104;SP;2101;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;27558777,02
Prefeitura Municipal de Tupï¿½ - SP;3555000;SP;65615;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;284961127,09
Prefeitura Municipal de Cï¿½ssia dos Coqueiros - SP;3510906;SP;2488;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;31262251,57
Prefeitura Municipal de Barra do Chapï¿½u - SP;3505351;SP;5794;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40993678,54
