"Municipio gestor";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
"350010 Adamantina";-;7;-;22707;-;1854;506;286;-;-;-;-;438;606;75;466;23844;2349;144;-;937;528;-;22;-;164;-;11;1;-;1;14;-;-;-;-;-;-;-;8;7;-;-;-;-;-;-;26;11;-;12859;67871
"350020 Adolfo";3348;36;713;-;-;7;-;-;-;-;-;-;72;-;-;557;8730;321;-;-;-;-;200;2;-;2;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;10;-;-;-;14047
"350030 Aguai";9278;115;195;13372;-;359;502;-;-;-;-;-;192;-;-;1026;25434;1176;-;-;-;-;768;-;-;249;-;3;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;-;-;-;-;-;-;-;-;52818
"350040 Aguas da Prata";1103;1129;29;2623;-;441;-;-;-;-;-;-;-;-;-;166;4131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9622
"350050 Aguas de Lindoia";-;-;-;-;-;983;-;-;-;-;-;-;151;-;-;-;3388;192;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4715
"350055 Aguas de Santa Barbara";-;-;-;3639;-;-;-;-;-;-;-;-;-;-;-;382;2718;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6739
"350060 Aguas de Sao Pedro";73;-;95;3390;-;293;31;-;-;-;-;-;-;-;-;122;3212;241;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;7564
"350070 Agudos";6220;193;213;4117;-;1754;150;-;-;-;-;-;325;-;-;1802;52595;622;16;-;-;-;722;228;-;72;-;1;-;-;-;1;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;69120
"350075 Alambari";3629;466;582;2624;-;12;-;-;-;-;-;-;29;-;-;443;8142;214;-;-;-;-;820;-;-;3;-;1;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;20;-;-;-;17037
"350080 Alfredo Marcondes";7600;81;189;-;-;-;-;-;-;-;-;-;23;-;-;134;4770;337;-;-;-;-;366;-;-;16;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;20;-;-;-;13579
"350090 Altair";314;-;212;-;-;10;-;-;-;-;-;-;-;-;-;580;4284;583;-;-;-;-;257;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;20;-;-;-;6308
"350100 Altinopolis";5369;151;905;9820;-;852;118;-;-;-;-;-;183;-;-;1176;25730;632;-;-;-;-;638;-;-;52;-;1;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;11;-;-;860;46562
"350110 Alto Alegre";297;131;-;3654;-;1126;-;-;-;-;-;-;-;-;-;-;1419;282;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6909
"350115 Aluminio";-;865;-;6893;-;684;-;-;-;-;-;-;84;-;-;280;5402;-;35;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14264
"350120 Alvares Florence";-;51;18;-;-;-;-;-;-;-;-;-;29;-;-;-;195;766;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;509;1659
"350130 Alvares Machado";3899;77;-;500;-;108;-;-;-;-;-;-;56;-;-;-;8715;1559;1;-;-;-;648;-;-;13;-;-;-;-;-;-;-;-;-;-;-;110;1;-;-;-;-;-;-;-;-;16;-;-;-;15703
"350140 Alvaro de Carvalho";-;-;183;-;-;-;-;-;-;-;-;-;-;-;-;90;1564;345;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2182
"350150 Alvinlandia";544;11;78;-;-;-;-;-;-;-;-;-;17;-;-;22;923;24;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;6;-;-;-;1718
"350160 Americana";6144;632;6701;108651;387;6840;2378;414;171;37;319;-;2892;42;-;1948;75861;6996;215;-;953;23;2571;937;-;364;-;43;179;-;87;-;5;-;-;-;-;211;-;-;8;-;-;-;-;-;-;68;10;-;-;226087
"350170 Americo Brasiliense";118;108;4132;3700;-;350;392;-;-;-;-;-;200;-;-;2410;23103;316;-;-;-;-;465;-;-;15;-;8;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;25;-;-;-;35445
"350180 Americo de Campos";-;70;-;1813;-;-;-;-;-;-;-;-;58;-;-;14;238;28;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;7;-;-;-;2231
"350190 Amparo";160;8154;28;60972;-;1076;100;290;-;-;29;-;2107;-;-;71;19156;2718;5;-;1399;-;938;158;-;84;-;9;33;-;1;2;7;-;-;1;-;4;-;1;29;-;-;-;-;-;-;194;39;-;-;97765
"350200 Analandia";282;20;33;1819;-;253;-;-;-;-;-;-;-;-;-;844;5224;75;-;-;-;-;367;-;-;10;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;8951
"350210 Andradina";3496;223;1377;501;-;1035;10;-;-;-;-;-;330;-;-;2194;38821;1454;56;-;-;-;243;-;-;64;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;49827
"350220 Angatuba";557;46;2;14425;-;1066;95;-;-;-;35;-;146;-;-;307;15198;724;-;-;-;-;-;-;-;60;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32673
"350230 Anhembi";2542;18;435;-;-;3;26;-;-;-;-;-;63;-;-;750;8472;793;-;-;-;-;275;-;1;62;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;13478
"350240 Anhumas";43;254;-;1556;-;-;-;-;-;-;-;-;-;-;-;-;9;746;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;439;3047
"350250 Aparecida";148;-;-;3621;-;1474;10;-;-;-;-;-;265;-;-;-;17123;271;17;-;-;-;320;-;-;127;-;2;-;-;-;-;14;-;-;-;-;36;-;10;-;-;-;-;-;-;-;28;-;-;-;23466
"350260 Aparecida d'Oeste";4437;33;169;-;-;23;-;-;-;-;-;-;35;-;-;212;4355;341;-;-;-;-;273;-;-;32;-;1;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;360;10311
"350270 Apiai";33;42;-;10250;-;1084;-;-;-;-;-;-;316;-;-;131;6228;385;30;-;-;-;257;-;-;58;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;18845
"350275 Aracariguama";2930;68;2830;20225;-;2788;74;-;-;-;-;-;740;-;4;2615;62464;1158;-;-;-;-;-;-;-;40;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;95964
"350280 Aracatuba";4761;1258;500;69012;2229;8304;49;117;117;171;3;-;3922;-;-;1975;72440;356;55;-;-;-;3099;-;-;209;-;216;96;2;-;-;-;-;-;-;-;694;3;-;-;-;-;-;-;-;-;3085;-;-;14361;187034
"350290 Aracoiaba da Serra";44;85;-;14059;-;995;286;-;-;-;-;-;65;-;-;723;21541;918;38;-;-;-;4;-;-;36;-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;38799
"350300 Aramina";932;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;945
"350310 Arandu";570;35;114;-;-;-;-;-;-;-;-;-;-;-;-;84;1434;-;-;-;-;-;13;-;-;6;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;2279
"350315 Arapei";11;6;68;-;-;-;-;-;-;-;-;-;48;-;-;98;2991;218;-;-;-;-;187;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;22;-;-;2406;6060
"350320 Araraquara";14297;2135;2115;75566;3384;6430;1484;400;267;137;264;-;16121;-;-;3161;144218;9293;761;869;2965;61;2588;30;-;620;-;157;834;-;37;9;3;-;-;-;-;383;-;1;39;-;-;-;1;-;-;604;44;-;-;289278
"350330 Araras";18852;404;1971;44354;42;5442;600;703;-;1;80;-;1367;35;-;1958;76183;-;31;360;1238;45;2879;5;-;332;-;2;47;-;3;9;8;-;-;1;-;434;-;-;6;-;-;-;-;-;-;-;5;-;-;157397
"350335 Arco-Iris";477;6;71;-;-;-;-;-;-;-;-;-;-;-;-;30;874;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1458
"350340 Arealva";416;40;181;40;-;104;352;-;-;-;-;-;3150;-;-;276;9711;312;103;-;-;-;340;-;-;-;-;-;498;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;14;-;-;-;15566
"350350 Areias";38;24;1138;-;-;-;67;-;-;-;-;-;16;-;-;97;3642;148;-;-;-;-;117;-;-;36;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;18;-;-;559;5903
"350360 Areiopolis";208;37;-;-;-;215;61;-;-;-;-;-;-;-;-;70;3880;-;-;-;-;-;-;-;-;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;40;4559
"350370 Ariranha";52;24;-;424;-;263;6;-;-;-;-;-;113;-;-;446;9454;283;1;-;-;-;260;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;36;-;-;-;11369
"350380 Artur Nogueira";9299;-;1614;10826;-;1405;-;-;-;-;-;-;270;-;-;1201;15811;472;-;-;-;-;783;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;41812
"350390 Aruja";7426;4003;54;38660;613;4074;987;137;-;-;-;-;1013;-;-;4757;58240;5540;-;-;-;5;97;1;-;74;-;31;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;125755
"350395 Aspasia";-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"350400 Assis";6953;224;3623;42965;267;4473;356;-;-;-;123;-;3053;3;-;705;54406;269;143;-;1578;3;396;-;-;144;-;11;52;-;-;7;-;-;-;-;-;34;-;2;13;-;-;-;-;-;-;19;16;-;-;119838
