"Municipio";"0101 Acoes coletivas/individuais em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0502 Avaliacao de morte encefalica";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0802 Acoes relacionadas ao atendimento";"Total"
"350010 Adamantina";-;2;5221;39;180;69;144;-;-;6;-;144;232;62;1029;915;3595;-;30;107;-;6;5;3;33;-;-;2;-;-;41;33;4;-;30;4;-;1;-;-;4;-;-;-;-;-;-;106;49;12;996;13104
"350050 Aguas de Lindoia";-;-;-;-;17;28;-;-;-;-;-;40;-;-;21;-;60;1;3;19;-;-;-;1;32;-;-;-;-;-;6;4;-;-;6;-;-;-;3;-;-;-;-;-;-;-;-;-;7;-;265;513
"350070 Agudos";-;-;346;-;8;-;-;-;-;-;-;3;-;20;24;-;14;-;-;-;-;-;-;7;1;-;1;1;-;2;33;21;13;-;15;-;1;-;-;-;-;-;-;-;-;-;-;-;8;-;-;518
"350100 Altinopolis";-;-;669;-;32;3;-;-;-;-;-;33;-;288;936;53;84;-;5;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;82;2202
"350110 Alto Alegre";-;-;46;-;5;-;-;-;-;-;-;-;-;2;11;-;9;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89
"350130 Alvares Machado";-;-;421;-;12;-;-;-;-;-;-;32;-;-;323;-;41;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;832
"350160 Americana";-;1;7992;103;105;191;160;16;-;10;1;585;276;122;3591;3982;523;15;28;171;-;9;210;49;4;-;2;2;-;-;43;62;45;2;80;7;-;-;11;-;4;-;-;-;-;-;-;29;43;111;2229;20814
"350170 Americo Brasiliense";-;-;534;-;2;4;-;-;-;-;-;7;-;-;133;-;17;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138;837
"350190 Amparo";-;-;6031;37;236;67;158;-;-;-;-;271;-;192;2064;2472;4787;4;39;74;-;4;-;7;179;-;-;1;-;-;24;28;6;-;47;4;-;-;3;-;-;-;-;-;-;-;-;3;35;-;1098;17871
"350220 Angatuba";-;-;1702;-;248;-;-;-;-;-;-;83;-;17;709;225;84;2;5;11;-;6;-;7;-;-;-;-;-;-;8;-;5;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;737;3871
"350260 Aparecida d'Oeste";-;-;8;-;-;-;-;-;-;-;-;-;-;-;30;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;45
"350270 Apiai";-;10;412;-;68;3;-;-;-;-;-;105;-;943;818;63;87;1;1;14;-;1;-;9;139;-;1;2;-;-;7;4;3;-;12;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;393;3112
"350280 Aracatuba";-;-;109;-;-;-;-;-;-;-;-;-;-;-;-;-;1860;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1969
