"Internação x tipo de Serviços ou Equipamentos",Total,Público,Privado,Privado/SUS
Total,958,219,739,417
Anatomia patológica,237,62,175,106
Laboratório de análises clínicas,526,134,392,243
Atendimento ambulatorial,802,190,612,347
Cirurgia,785,161,624,350
SADT,878,205,673,391
Fisioterapia,517,116,401,236
Quimioterapia,166,28,138,62
Emergência,760,188,572,333
UTI/CTI,455,100,355,161
UTI neonatal,221,60,161,74
Alta complexidade - AIDS,145,35,110,55
Alta complexidade - Cirurgia cardíaca,130,11,119,53
Alta complexidade - Transplantes,93,8,85,55
Parto,443,89,354,251
RX Simples,2592,596,1996,1204
Hemodiálise,2481,394,2087,1754
Grupo gerador,1024,239,785,431
Mamógrafo,438,73,365,229
Tomógrafo,479,95,384,187
Ultrassom,1541,401,1140,580
Video laparoscópio,848,149,699,276
Berço aquecido,3423,1095,2328,1479
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Pesquisa de Assistência Médico-Sanitária 2009."
