cod_ibge;grupo_ipvs;n_pessoas;n_domicilios;n_setores
ADAMANTINA;Baixíssima Vulnerabilidade;99;36;1
ADAMANTINA;Muito Baixa Vulnerabilidade;20816;8316;49
ADAMANTINA;Baixa Vulnerabilidade;4015;1667;10
ADAMANTINA;Média Vulnerabilidade;5683;2140;12
ADAMANTINA;Alta Vulnerabilidade;3181;1162;7
ADOLFO;Muito Baixa Vulnerabilidade;278;98;2
ADOLFO;Média Vulnerabilidade;2010;801;3
ADOLFO;Alta Vulnerabilidade;1909;688;3
AGUAI;Muito Baixa Vulnerabilidade;13200;4931;26
AGUAI;Baixa Vulnerabilidade;1669;621;4
AGUAI;Média Vulnerabilidade;11783;4158;22
AGUAI;Alta Vulnerabilidade;5356;1770;7
AGUAS DA PRATA;Muito Baixa Vulnerabilidade;5756;2279;16
AGUAS DA PRATA;Média Vulnerabilidade;1465;534;3
AGUAS DE LINDOIA;Baixíssima Vulnerabilidade;152;57;1
AGUAS DE LINDOIA;Muito Baixa Vulnerabilidade;9144;3646;26
AGUAS DE LINDOIA;Baixa Vulnerabilidade;1521;589;5
AGUAS DE LINDOIA;Média Vulnerabilidade;5300;1921;13
AGUAS DE LINDOIA;Alta Vulnerabilidade;1394;483;4
AGUAS DE SANTA BARBARA;Muito Baixa Vulnerabilidade;4207;1640;15
AGUAS DE SANTA BARBARA;Baixa Vulnerabilidade;1450;543;4
AGUAS DE SANTA BARBARA;Média Vulnerabilidade;1139;411;3
AGUAS DE SANTA BARBARA;Alta Vulnerabilidade;228;69;1
AGUAS DE SAO PEDRO;Muito Baixa Vulnerabilidade;2185;887;5
AGUAS DE SAO PEDRO;Baixa Vulnerabilidade;594;266;2
AGUDOS;Baixíssima Vulnerabilidade;247;89;1
AGUDOS;Muito Baixa Vulnerabilidade;18140;6563;28
AGUDOS;Baixa Vulnerabilidade;2892;967;4
AGUDOS;Média Vulnerabilidade;4767;1598;7
AGUDOS;Alta Vulnerabilidade;11067;3618;14
ALAMBARI;Muito Baixa Vulnerabilidade;2421;865;7
ALAMBARI;Média Vulnerabilidade;1666;572;4
ALAMBARI;Alta Vulnerabilidade;1656;563;4
ALFREDO MARCONDES;Muito Baixa Vulnerabilidade;1148;463;4
ALFREDO MARCONDES;Média Vulnerabilidade;2027;785;5
ALFREDO MARCONDES;Alta Vulnerabilidade;1074;407;3
ALTAIR;Baixíssima Vulnerabilidade;530;225;1
ALTAIR;Muito Baixa Vulnerabilidade;527;178;3
ALTAIR;Média Vulnerabilidade;1605;594;3
ALTAIR;Alta Vulnerabilidade;642;237;1
ALTINOPOLIS;Muito Baixa Vulnerabilidade;4599;1762;11
ALTINOPOLIS;Média Vulnerabilidade;8448;3036;17
ALTINOPOLIS;Alta Vulnerabilidade;3676;1258;7
ALTO ALEGRE;Muito Baixa Vulnerabilidade;844;335;5
ALTO ALEGRE;Baixa Vulnerabilidade;410;168;1
ALTO ALEGRE;Média Vulnerabilidade;1304;533;4
ALTO ALEGRE;Alta Vulnerabilidade;1096;416;2
ALUMINIO;Baixíssima Vulnerabilidade;199;69;1
ALUMINIO;Muito Baixa Vulnerabilidade;12790;4401;21
ALUMINIO;Baixa Vulnerabilidade;1681;570;3
ALUMINIO;Média Vulnerabilidade;2186;757;6
ALVARES FLORENCE;Muito Baixa Vulnerabilidade;1969;767;6
ALVARES FLORENCE;Média Vulnerabilidade;1627;667;4
ALVARES FLORENCE;Alta Vulnerabilidade;301;96;1
ALVARES MACHADO;Baixíssima Vulnerabilidade;870;301;1
ALVARES MACHADO;Muito Baixa Vulnerabilidade;10397;3817;22
ALVARES MACHADO;Baixa Vulnerabilidade;1248;486;2
ALVARES MACHADO;Média Vulnerabilidade;5435;1961;11
ALVARES MACHADO;Alta Vulnerabilidade;8989;3209;13
ALVARO DE CARVALHO;Média Vulnerabilidade;1704;628;3
ALVARO DE CARVALHO;Alta Vulnerabilidade;1307;489;4
ALVINLANDIA;Média Vulnerabilidade;2539;883;7
ALVINLANDIA;Alta Vulnerabilidade;228;85;1
AMERICANA;Baixíssima Vulnerabilidade;16824;6319;42
AMERICANA;Muito Baixa Vulnerabilidade;172302;65301;365
AMERICANA;Baixa Vulnerabilidade;30053;11489;61
AMERICANA;Média Vulnerabilidade;6753;2435;14
AMERICANA;Alta Vulnerabilidade;9557;3299;19
AMERICANA;Muito Alta Vulnerabilidade;481;163;1
AMERICO BRASILIENSE;Muito Baixa Vulnerabilidade;7022;2537;13
AMERICO BRASILIENSE;Baixa Vulnerabilidade;2112;762;4
AMERICO BRASILIENSE;Média Vulnerabilidade;14758;5092;27
AMERICO BRASILIENSE;Alta Vulnerabilidade;8868;2961;14
AMERICO DE CAMPOS;Muito Baixa Vulnerabilidade;3750;1503;9
AMERICO DE CAMPOS;Média Vulnerabilidade;623;260;1
AMERICO DE CAMPOS;Alta Vulnerabilidade;1495;598;2
AMPARO;Baixíssima Vulnerabilidade;1508;559;3
AMPARO;Muito Baixa Vulnerabilidade;40931;14957;82
AMPARO;Baixa Vulnerabilidade;8588;3274;15
AMPARO;Média Vulnerabilidade;4105;1446;13
AMPARO;Alta Vulnerabilidade;10970;3724;17
AMPARO;Muito Alta Vulnerabilidade;359;110;1
ANALANDIA;Muito Baixa Vulnerabilidade;3885;1430;12
ANALANDIA;Média Vulnerabilidade;236;75;1
ANALANDIA;Alta Vulnerabilidade;352;135;1
ANDRADINA;Baixíssima Vulnerabilidade;609;224;1
ANDRADINA;Muito Baixa Vulnerabilidade;31310;12137;58
ANDRADINA;Baixa Vulnerabilidade;3364;1217;7
ANDRADINA;Média Vulnerabilidade;11671;4360;25
ANDRADINA;Alta Vulnerabilidade;10572;3831;20
ANGATUBA;Muito Baixa Vulnerabilidade;10341;3676;19
ANGATUBA;Baixa Vulnerabilidade;1885;692;4
ANGATUBA;Média Vulnerabilidade;7650;2752;16
ANGATUBA;Alta Vulnerabilidade;3661;1230;6
ANHEMBI;Muito Baixa Vulnerabilidade;709;284;5
ANHEMBI;Baixa Vulnerabilidade;144;54;1
ANHEMBI;Média Vulnerabilidade;1335;486;6
ANHEMBI;Alta Vulnerabilidade;2852;1006;7
ANHUMAS;Muito Baixa Vulnerabilidade;1851;709;5
ANHUMAS;Média Vulnerabilidade;1465;546;2
ANHUMAS;Alta Vulnerabilidade;306;101;1
APARECIDA;Muito Baixa Vulnerabilidade;18165;6523;42
APARECIDA;Baixa Vulnerabilidade;1005;448;2
APARECIDA;Média Vulnerabilidade;8566;2825;16
APARECIDA;Alta Vulnerabilidade;4222;1440;7
APARECIDA D'OESTE;Muito Baixa Vulnerabilidade;455;176;2
APARECIDA D'OESTE;Média Vulnerabilidade;2572;1031;9
APARECIDA D'OESTE;Alta Vulnerabilidade;899;360;2
APIAI;Muito Baixa Vulnerabilidade;4816;1775;13
APIAI;Baixa Vulnerabilidade;2674;1007;5
APIAI;Média Vulnerabilidade;8552;3056;30
APIAI;Alta Vulnerabilidade;7769;2736;22
ARACARIGUAMA;Baixíssima Vulnerabilidade;81;38;1
ARACARIGUAMA;Muito Baixa Vulnerabilidade;4149;1451;14
ARACARIGUAMA;Baixa Vulnerabilidade;4163;1469;6
ARACARIGUAMA;Média Vulnerabilidade;2719;918;9
ARACARIGUAMA;Alta Vulnerabilidade;9923;3388;14
ARACATUBA;Baixíssima Vulnerabilidade;14191;5808;38
ARACATUBA;Muito Baixa Vulnerabilidade;102317;40004;255
ARACATUBA;Baixa Vulnerabilidade;29932;12678;78
ARACATUBA;Média Vulnerabilidade;17871;6668;42
ARACATUBA;Alta Vulnerabilidade;34305;12274;71
ARACOIABA DA SERRA;Baixíssima Vulnerabilidade;2179;746;3
ARACOIABA DA SERRA;Muito Baixa Vulnerabilidade;18798;7049;52
ARACOIABA DA SERRA;Baixa Vulnerabilidade;3030;1042;8
ARACOIABA DA SERRA;Média Vulnerabilidade;6176;2166;16
ARACOIABA DA SERRA;Alta Vulnerabilidade;1404;501;5
ARAMINA;Muito Baixa Vulnerabilidade;3302;1229;7
ARAMINA;Média Vulnerabilidade;1703;622;4
ARANDU;Muito Baixa Vulnerabilidade;700;246;4
ARANDU;Baixa Vulnerabilidade;941;319;3
ARANDU;Média Vulnerabilidade;3174;1144;10
ARANDU;Alta Vulnerabilidade;1632;534;3
ARAPEI;Muito Baixa Vulnerabilidade;245;91;1
ARAPEI;Média Vulnerabilidade;2005;770;7
ARARAQUARA;Baixíssima Vulnerabilidade;16029;5974;38
ARARAQUARA;Muito Baixa Vulnerabilidade;128749;49861;282
ARARAQUARA;Baixa Vulnerabilidade;40454;17404;99
ARARAQUARA;Média Vulnerabilidade;19914;7094;37
ARARAQUARA;Alta Vulnerabilidade;33884;11690;55
ARARAS;Baixíssima Vulnerabilidade;5860;2142;19
ARARAS;Muito Baixa Vulnerabilidade;69435;25869;185
ARARAS;Baixa Vulnerabilidade;14998;6109;34
ARARAS;Média Vulnerabilidade;24464;8378;53
ARARAS;Alta Vulnerabilidade;13974;4802;30
ARCO-IRIS;Média Vulnerabilidade;1426;519;4
AREALVA;Muito Baixa Vulnerabilidade;4578;1786;15
AREALVA;Média Vulnerabilidade;1916;698;4
AREALVA;Alta Vulnerabilidade;1331;492;3
AREIAS;Muito Baixa Vulnerabilidade;389;147;2
AREIAS;Média Vulnerabilidade;1926;678;6
AREIAS;Alta Vulnerabilidade;1090;367;5
AREIOPOLIS;Muito Baixa Vulnerabilidade;2144;743;4
AREIOPOLIS;Média Vulnerabilidade;3805;1305;9
AREIOPOLIS;Alta Vulnerabilidade;3791;1223;7
ARIRANHA;Muito Baixa Vulnerabilidade;3413;1322;7
ARIRANHA;Média Vulnerabilidade;3863;1436;7
ARTUR NOGUEIRA;Baixíssima Vulnerabilidade;1655;608;3
ARTUR NOGUEIRA;Muito Baixa Vulnerabilidade;21880;7842;59
ARTUR NOGUEIRA;Baixa Vulnerabilidade;3188;1127;8
ARTUR NOGUEIRA;Média Vulnerabilidade;7329;2566;17
ARTUR NOGUEIRA;Alta Vulnerabilidade;16891;5832;29
ARUJA;Baixíssima Vulnerabilidade;7766;2520;15
ARUJA;Muito Baixa Vulnerabilidade;34177;11984;59
ARUJA;Baixa Vulnerabilidade;9320;3164;16
ARUJA;Média Vulnerabilidade;9484;3230;16
ARUJA;Alta Vulnerabilidade;23388;7676;38
ARUJA;Muito Alta Vulnerabilidade;1368;409;5
ASPASIA;Muito Baixa Vulnerabilidade;210;72;1
ASPASIA;Média Vulnerabilidade;1562;583;4
ASSIS;Baixíssima Vulnerabilidade;3879;1469;8
ASSIS;Muito Baixa Vulnerabilidade;56870;22296;114
ASSIS;Baixa Vulnerabilidade;15013;5862;27
ASSIS;Média Vulnerabilidade;12201;4486;22
ASSIS;Alta Vulnerabilidade;11174;3784;22
ATIBAIA;Baixíssima Vulnerabilidade;14891;5452;39
ATIBAIA;Muito Baixa Vulnerabilidade;86409;31513;192
ATIBAIA;Baixa Vulnerabilidade;12458;4374;30
ATIBAIA;Média Vulnerabilidade;17459;5985;48
ATIBAIA;Alta Vulnerabilidade;18511;6489;40
ATIBAIA;Muito Alta Vulnerabilidade;5278;1743;15
AURIFLAMA;Muito Baixa Vulnerabilidade;4748;1902;16
AURIFLAMA;Baixa Vulnerabilidade;393;149;1
AURIFLAMA;Média Vulnerabilidade;7053;2774;14
AURIFLAMA;Alta Vulnerabilidade;1362;530;2
AVAI;Muito Baixa Vulnerabilidade;530;194;2
AVAI;Baixa Vulnerabilidade;549;218;1
AVAI;Média Vulnerabilidade;1882;716;4
AVAI;Alta Vulnerabilidade;820;299;1
AVANHANDAVA;Muito Baixa Vulnerabilidade;2149;766;4
AVANHANDAVA;Baixa Vulnerabilidade;401;143;2
AVANHANDAVA;Média Vulnerabilidade;2711;982;5
AVANHANDAVA;Alta Vulnerabilidade;4471;1559;8
AVARE;Baixíssima Vulnerabilidade;2971;1065;7
AVARE;Muito Baixa Vulnerabilidade;43781;16912;123
AVARE;Baixa Vulnerabilidade;12207;4647;35
AVARE;Média Vulnerabilidade;11828;4154;30
AVARE;Alta Vulnerabilidade;18847;6372;40
AVARE;Muito Alta Vulnerabilidade;84;24;1
BADY BASSITT;Baixíssima Vulnerabilidade;687;230;2
BADY BASSITT;Muito Baixa Vulnerabilidade;19473;7094;37
BADY BASSITT;Baixa Vulnerabilidade;5250;1915;7
BADY BASSITT;Alta Vulnerabilidade;1617;640;4
BALBINOS;Muito Baixa Vulnerabilidade;1188;482;3
BALBINOS;Alta Vulnerabilidade;170;57;1
BALSAMO;Muito Baixa Vulnerabilidade;4977;1960;13
BALSAMO;Média Vulnerabilidade;4034;1545;8
BALSAMO;Alta Vulnerabilidade;506;174;1
BANANAL;Muito Baixa Vulnerabilidade;5035;1947;14
BANANAL;Média Vulnerabilidade;3598;1292;13
BANANAL;Alta Vulnerabilidade;314;112;2
BANANAL;Muito Alta Vulnerabilidade;850;307;2
BARAO DE ANTONINA;Baixa Vulnerabilidade;277;112;1
BARAO DE ANTONINA;Média Vulnerabilidade;805;308;4
BARAO DE ANTONINA;Alta Vulnerabilidade;2137;819;5
BARBOSA;Média Vulnerabilidade;1266;479;4
BARBOSA;Alta Vulnerabilidade;4176;1553;8
BARIRI;Muito Baixa Vulnerabilidade;16125;6351;42
BARIRI;Baixa Vulnerabilidade;2471;897;6
BARIRI;Média Vulnerabilidade;7610;2689;15
BARIRI;Alta Vulnerabilidade;5062;1710;9
BARRA BONITA;Baixíssima Vulnerabilidade;413;152;1
BARRA BONITA;Muito Baixa Vulnerabilidade;23713;9188;52
BARRA BONITA;Baixa Vulnerabilidade;925;332;2
BARRA BONITA;Média Vulnerabilidade;7037;2483;13
BARRA BONITA;Alta Vulnerabilidade;1873;631;3
BARRA DO CHAPEU;Média Vulnerabilidade;1227;473;5
BARRA DO CHAPEU;Alta Vulnerabilidade;3850;1367;13
BARRA DO TURVO;Média Vulnerabilidade;2683;1024;11
BARRA DO TURVO;Alta Vulnerabilidade;2553;960;5
BARRETOS;Baixíssima Vulnerabilidade;3877;1332;6
BARRETOS;Muito Baixa Vulnerabilidade;61406;23680;113
BARRETOS;Baixa Vulnerabilidade;32172;12398;51
BARRETOS;Média Vulnerabilidade;7104;2527;15
BARRETOS;Alta Vulnerabilidade;17362;6363;27
BARRINHA;Muito Baixa Vulnerabilidade;4034;1474;10
BARRINHA;Baixa Vulnerabilidade;1104;393;3
BARRINHA;Média Vulnerabilidade;13519;4703;24
BARRINHA;Alta Vulnerabilidade;13123;4532;23
BARUERI;Baixíssima Vulnerabilidade;53858;20720;96
BARUERI;Muito Baixa Vulnerabilidade;113228;37114;158
BARUERI;Baixa Vulnerabilidade;72392;25027;97
BARUERI;Média Vulnerabilidade;26383;8876;36
BARUERI;Alta Vulnerabilidade;41330;14696;55
BARUERI;Muito Alta Vulnerabilidade;8717;2925;18
BASTOS;Muito Baixa Vulnerabilidade;8277;2949;20
BASTOS;Baixa Vulnerabilidade;1815;640;6
BASTOS;Média Vulnerabilidade;5488;1951;13
BASTOS;Alta Vulnerabilidade;5695;1928;13
BATATAIS;Baixíssima Vulnerabilidade;707;245;1
BATATAIS;Muito Baixa Vulnerabilidade;36464;13767;70
BATATAIS;Baixa Vulnerabilidade;1335;459;3
BATATAIS;Média Vulnerabilidade;11419;4094;22
BATATAIS;Alta Vulnerabilidade;7798;2673;13
BAURU;Baixíssima Vulnerabilidade;31390;12691;57
BAURU;Muito Baixa Vulnerabilidade;187380;69922;314
BAURU;Baixa Vulnerabilidade;75047;31021;134
BAURU;Média Vulnerabilidade;18276;6200;22
BAURU;Alta Vulnerabilidade;51690;17630;72
BAURU;Muito Alta Vulnerabilidade;6043;1990;17
BEBEDOURO;Baixíssima Vulnerabilidade;1727;676;5
BEBEDOURO;Muito Baixa Vulnerabilidade;46410;17510;96
BEBEDOURO;Baixa Vulnerabilidade;7851;2898;14
BEBEDOURO;Média Vulnerabilidade;7668;2726;15
BEBEDOURO;Alta Vulnerabilidade;12188;4125;18
BENTO DE ABREU;Muito Baixa Vulnerabilidade;702;263;2
BENTO DE ABREU;Baixa Vulnerabilidade;431;164;1
BENTO DE ABREU;Média Vulnerabilidade;773;262;2
BENTO DE ABREU;Alta Vulnerabilidade;500;164;2
BERNARDINO DE CAMPOS;Muito Baixa Vulnerabilidade;4683;1754;11
BERNARDINO DE CAMPOS;Baixa Vulnerabilidade;1060;373;2
BERNARDINO DE CAMPOS;Média Vulnerabilidade;1109;413;2
BERNARDINO DE CAMPOS;Alta Vulnerabilidade;3679;1339;7
BERTIOGA;Baixíssima Vulnerabilidade;466;182;2
BERTIOGA;Muito Baixa Vulnerabilidade;17707;6734;65
BERTIOGA;Baixa Vulnerabilidade;13588;4793;35
BERTIOGA;Média Vulnerabilidade;2925;1017;11
BERTIOGA;Alta Vulnerabilidade;9748;3200;23
BERTIOGA;Muito Alta Vulnerabilidade;15994;5486;36
BILAC;Muito Baixa Vulnerabilidade;3729;1447;10
BILAC;Baixa Vulnerabilidade;785;299;2
BILAC;Média Vulnerabilidade;1024;400;3
BILAC;Alta Vulnerabilidade;1696;632;4
BIRIGUI;Baixíssima Vulnerabilidade;4431;1603;12
BIRIGUI;Muito Baixa Vulnerabilidade;57115;22234;135
BIRIGUI;Baixa Vulnerabilidade;12557;5069;27
BIRIGUI;Média Vulnerabilidade;27889;10542;60
BIRIGUI;Alta Vulnerabilidade;16271;5788;33
BIRITIBA MIRIM;Muito Baixa Vulnerabilidade;7209;2576;17
BIRITIBA MIRIM;Baixa Vulnerabilidade;678;236;1
BIRITIBA MIRIM;Média Vulnerabilidade;13036;4650;38
BIRITIBA MIRIM;Alta Vulnerabilidade;5261;1797;12
BIRITIBA MIRIM;Muito Alta Vulnerabilidade;2176;731;5
BOA ESPERANCA DO SUL;Muito Baixa Vulnerabilidade;2517;969;8
BOA ESPERANCA DO SUL;Baixa Vulnerabilidade;657;239;2
BOA ESPERANCA DO SUL;Média Vulnerabilidade;4766;1673;8
BOA ESPERANCA DO SUL;Alta Vulnerabilidade;4901;1731;8
BOCAINA;Muito Baixa Vulnerabilidade;3537;1391;9
BOCAINA;Baixa Vulnerabilidade;1303;451;3
BOCAINA;Média Vulnerabilidade;4024;1417;8
BOCAINA;Alta Vulnerabilidade;2041;704;4
BOFETE;Muito Baixa Vulnerabilidade;2323;899;7
BOFETE;Baixa Vulnerabilidade;322;115;1
BOFETE;Média Vulnerabilidade;3576;1367;14
BOFETE;Alta Vulnerabilidade;3824;1416;8
BOITUVA;Baixíssima Vulnerabilidade;4031;1417;8
BOITUVA;Muito Baixa Vulnerabilidade;28498;10388;56
BOITUVA;Baixa Vulnerabilidade;9385;3312;14
BOITUVA;Média Vulnerabilidade;6421;2122;17
BOITUVA;Alta Vulnerabilidade;11778;4137;19
BOM JESUS DOS PERDOES;Baixíssima Vulnerabilidade;162;53;1
BOM JESUS DOS PERDOES;Muito Baixa Vulnerabilidade;7674;2792;23
BOM JESUS DOS PERDOES;Baixa Vulnerabilidade;2982;1059;5
BOM JESUS DOS PERDOES;Média Vulnerabilidade;3212;1072;9
BOM JESUS DOS PERDOES;Alta Vulnerabilidade;7073;2460;15
BOM SUCESSO DE ITARARE;Baixa Vulnerabilidade;319;105;1
BOM SUCESSO DE ITARARE;Média Vulnerabilidade;1217;401;4
BOM SUCESSO DE ITARARE;Alta Vulnerabilidade;1989;658;4
BORA;Média Vulnerabilidade;442;174;1
BORA;Alta Vulnerabilidade;296;94;1
BORACEIA;Muito Baixa Vulnerabilidade;1319;470;3
BORACEIA;Baixa Vulnerabilidade;625;213;1
BORACEIA;Média Vulnerabilidade;1940;665;4
BORACEIA;Alta Vulnerabilidade;790;276;2
BORBOREMA;Baixíssima Vulnerabilidade;411;185;1
BORBOREMA;Muito Baixa Vulnerabilidade;5917;2282;19
BORBOREMA;Baixa Vulnerabilidade;862;324;2
BORBOREMA;Média Vulnerabilidade;4356;1660;10
BORBOREMA;Alta Vulnerabilidade;2324;886;6
BOREBI;Muito Baixa Vulnerabilidade;1541;542;4
BOREBI;Média Vulnerabilidade;510;192;1
BOREBI;Alta Vulnerabilidade;512;175;2
BOTUCATU;Baixíssima Vulnerabilidade;4493;1806;14
BOTUCATU;Muito Baixa Vulnerabilidade;70545;26723;172
BOTUCATU;Baixa Vulnerabilidade;35308;14136;81
BOTUCATU;Média Vulnerabilidade;10893;3740;23
BOTUCATU;Alta Vulnerabilidade;21560;7366;37
BOTUCATU;Muito Alta Vulnerabilidade;543;179;1
BRAGANCA PAULISTA;Baixíssima Vulnerabilidade;10844;3761;24
BRAGANCA PAULISTA;Muito Baixa Vulnerabilidade;81470;29470;190
BRAGANCA PAULISTA;Baixa Vulnerabilidade;41425;15458;85
BRAGANCA PAULISTA;Média Vulnerabilidade;13321;4538;36
BRAGANCA PAULISTA;Alta Vulnerabilidade;26675;9240;54
BRAGANCA PAULISTA;Muito Alta Vulnerabilidade;212;83;1
BRAUNA;Muito Baixa Vulnerabilidade;869;340;4
BRAUNA;Média Vulnerabilidade;1901;721;5
BRAUNA;Alta Vulnerabilidade;2429;854;4
BREJO ALEGRE;Muito Baixa Vulnerabilidade;908;344;3
BREJO ALEGRE;Média Vulnerabilidade;1622;618;4
BRODOWSKI;Muito Baixa Vulnerabilidade;13656;5015;22
BRODOWSKI;Baixa Vulnerabilidade;2979;1059;5
BRODOWSKI;Média Vulnerabilidade;2257;737;4
BRODOWSKI;Alta Vulnerabilidade;6265;2068;9
BROTAS;Muito Baixa Vulnerabilidade;12658;4685;31
BROTAS;Baixa Vulnerabilidade;4210;1515;7
BROTAS;Média Vulnerabilidade;2187;778;7
BROTAS;Alta Vulnerabilidade;4129;1433;7
BURI;Baixíssima Vulnerabilidade;355;153;1
BURI;Muito Baixa Vulnerabilidade;2117;772;8
BURI;Baixa Vulnerabilidade;2063;770;6
BURI;Média Vulnerabilidade;2640;953;7
BURI;Alta Vulnerabilidade;12703;4208;28
BURITAMA;Muito Baixa Vulnerabilidade;7565;3043;23
BURITAMA;Baixa Vulnerabilidade;554;214;1
BURITAMA;Média Vulnerabilidade;5748;2232;17
BURITAMA;Alta Vulnerabilidade;3101;1139;8
BURITIZAL;Muito Baixa Vulnerabilidade;2993;1154;8
BURITIZAL;Média Vulnerabilidade;686;277;2
BURITIZAL;Alta Vulnerabilidade;585;201;1
CABRALIA PAULISTA;Muito Baixa Vulnerabilidade;1382;542;3
CABRALIA PAULISTA;Média Vulnerabilidade;1189;428;3
CABRALIA PAULISTA;Alta Vulnerabilidade;1687;614;3
CABREUVA;Baixíssima Vulnerabilidade;392;135;1
CABREUVA;Muito Baixa Vulnerabilidade;14130;4798;26
CABREUVA;Baixa Vulnerabilidade;12979;4326;16
CABREUVA;Média Vulnerabilidade;4902;1596;11
CABREUVA;Alta Vulnerabilidade;13075;4228;16
CABREUVA;Muito Alta Vulnerabilidade;950;296;5
CACAPAVA;Baixíssima Vulnerabilidade;3233;1132;7
CACAPAVA;Muito Baixa Vulnerabilidade;55843;19941;113
CACAPAVA;Baixa Vulnerabilidade;8723;3153;18
