cod_ibge;grupo_ipvs;n_pessoas;n_domicilios;n_setores
3500105;Baixíssima Vulnerabilidade;99;36;1
3500105;Muito Baixa Vulnerabilidade;20816;8316;49
3500105;Baixa Vulnerabilidade;4015;1667;10
3500105;Média Vulnerabilidade;5683;2140;12
3500105;Alta Vulnerabilidade;3181;1162;7
3500105;Muito Alta Vulnerabilidade;0;0;0
3500204;Baixíssima Vulnerabilidade;0;0;0
3500204;Muito Baixa Vulnerabilidade;278;98;2
3500204;Baixa Vulnerabilidade;0;0;0
3500204;Média Vulnerabilidade;2010;801;3
3500204;Alta Vulnerabilidade;1909;688;3
3500204;Muito Alta Vulnerabilidade;0;0;0
3500303;Baixíssima Vulnerabilidade;0;0;0
3500303;Muito Baixa Vulnerabilidade;13200;4931;26
3500303;Baixa Vulnerabilidade;1669;621;4
3500303;Média Vulnerabilidade;11783;4158;22
3500303;Alta Vulnerabilidade;5356;1770;7
3500303;Muito Alta Vulnerabilidade;0;0;0
3500402;Baixíssima Vulnerabilidade;0;0;0
3500402;Muito Baixa Vulnerabilidade;5756;2279;16
3500402;Baixa Vulnerabilidade;0;0;0
3500402;Média Vulnerabilidade;1465;534;3
3500402;Alta Vulnerabilidade;0;0;0
3500402;Muito Alta Vulnerabilidade;0;0;0
3500501;Baixíssima Vulnerabilidade;152;57;1
3500501;Muito Baixa Vulnerabilidade;9144;3646;26
3500501;Baixa Vulnerabilidade;1521;589;5
3500501;Média Vulnerabilidade;5300;1921;13
3500501;Alta Vulnerabilidade;1394;483;4
3500501;Muito Alta Vulnerabilidade;0;0;0
3500550;Baixíssima Vulnerabilidade;0;0;0
3500550;Muito Baixa Vulnerabilidade;4207;1640;15
3500550;Baixa Vulnerabilidade;1450;543;4
3500550;Média Vulnerabilidade;1139;411;3
3500550;Alta Vulnerabilidade;228;69;1
3500550;Muito Alta Vulnerabilidade;0;0;0
3500600;Baixíssima Vulnerabilidade;0;0;0
3500600;Muito Baixa Vulnerabilidade;2185;887;5
3500600;Baixa Vulnerabilidade;594;266;2
3500600;Média Vulnerabilidade;0;0;0
3500600;Alta Vulnerabilidade;0;0;0
3500600;Muito Alta Vulnerabilidade;0;0;0
3500709;Baixíssima Vulnerabilidade;247;89;1
3500709;Muito Baixa Vulnerabilidade;18140;6563;28
3500709;Baixa Vulnerabilidade;2892;967;4
3500709;Média Vulnerabilidade;4767;1598;7
3500709;Alta Vulnerabilidade;11067;3618;14
3500709;Muito Alta Vulnerabilidade;0;0;0
3500758;Baixíssima Vulnerabilidade;0;0;0
3500758;Muito Baixa Vulnerabilidade;2421;865;7
3500758;Baixa Vulnerabilidade;0;0;0
3500758;Média Vulnerabilidade;1666;572;4
3500758;Alta Vulnerabilidade;1656;563;4
3500758;Muito Alta Vulnerabilidade;0;0;0
3500808;Baixíssima Vulnerabilidade;0;0;0
3500808;Muito Baixa Vulnerabilidade;1148;463;4
3500808;Baixa Vulnerabilidade;0;0;0
3500808;Média Vulnerabilidade;2027;785;5
3500808;Alta Vulnerabilidade;1074;407;3
3500808;Muito Alta Vulnerabilidade;0;0;0
3500907;Baixíssima Vulnerabilidade;530;225;1
3500907;Muito Baixa Vulnerabilidade;527;178;3
3500907;Baixa Vulnerabilidade;0;0;0
3500907;Média Vulnerabilidade;1605;594;3
3500907;Alta Vulnerabilidade;642;237;1
3500907;Muito Alta Vulnerabilidade;0;0;0
3501004;Baixíssima Vulnerabilidade;0;0;0
3501004;Muito Baixa Vulnerabilidade;4599;1762;11
3501004;Baixa Vulnerabilidade;0;0;0
3501004;Média Vulnerabilidade;8448;3036;17
3501004;Alta Vulnerabilidade;3676;1258;7
3501004;Muito Alta Vulnerabilidade;0;0;0
3501103;Baixíssima Vulnerabilidade;0;0;0
3501103;Muito Baixa Vulnerabilidade;844;335;5
3501103;Baixa Vulnerabilidade;410;168;1
3501103;Média Vulnerabilidade;1304;533;4
3501103;Alta Vulnerabilidade;1096;416;2
3501103;Muito Alta Vulnerabilidade;0;0;0
3501152;Baixíssima Vulnerabilidade;199;69;1
3501152;Muito Baixa Vulnerabilidade;12790;4401;21
3501152;Baixa Vulnerabilidade;1681;570;3
3501152;Média Vulnerabilidade;2186;757;6
3501152;Alta Vulnerabilidade;0;0;0
3501152;Muito Alta Vulnerabilidade;0;0;0
3501202;Baixíssima Vulnerabilidade;0;0;0
3501202;Muito Baixa Vulnerabilidade;1969;767;6
3501202;Baixa Vulnerabilidade;0;0;0
3501202;Média Vulnerabilidade;1627;667;4
3501202;Alta Vulnerabilidade;301;96;1
3501202;Muito Alta Vulnerabilidade;0;0;0
3501301;Baixíssima Vulnerabilidade;870;301;1
3501301;Muito Baixa Vulnerabilidade;10397;3817;22
3501301;Baixa Vulnerabilidade;1248;486;2
3501301;Média Vulnerabilidade;5435;1961;11
3501301;Alta Vulnerabilidade;8989;3209;13
3501301;Muito Alta Vulnerabilidade;0;0;0
3501400;Baixíssima Vulnerabilidade;0;0;0
3501400;Muito Baixa Vulnerabilidade;0;0;0
3501400;Baixa Vulnerabilidade;0;0;0
3501400;Média Vulnerabilidade;1704;628;3
3501400;Alta Vulnerabilidade;1307;489;4
3501400;Muito Alta Vulnerabilidade;0;0;0
3501509;Baixíssima Vulnerabilidade;0;0;0
3501509;Muito Baixa Vulnerabilidade;0;0;0
3501509;Baixa Vulnerabilidade;0;0;0
3501509;Média Vulnerabilidade;2539;883;7
3501509;Alta Vulnerabilidade;228;85;1
3501509;Muito Alta Vulnerabilidade;0;0;0
3501608;Baixíssima Vulnerabilidade;16824;6319;42
3501608;Muito Baixa Vulnerabilidade;172302;65301;365
3501608;Baixa Vulnerabilidade;30053;11489;61
3501608;Média Vulnerabilidade;6753;2435;14
3501608;Alta Vulnerabilidade;9557;3299;19
3501608;Muito Alta Vulnerabilidade;481;163;1
3501707;Baixíssima Vulnerabilidade;0;0;0
3501707;Muito Baixa Vulnerabilidade;7022;2537;13
3501707;Baixa Vulnerabilidade;2112;762;4
3501707;Média Vulnerabilidade;14758;5092;27
3501707;Alta Vulnerabilidade;8868;2961;14
3501707;Muito Alta Vulnerabilidade;0;0;0
3501806;Baixíssima Vulnerabilidade;0;0;0
3501806;Muito Baixa Vulnerabilidade;3750;1503;9
3501806;Baixa Vulnerabilidade;0;0;0
3501806;Média Vulnerabilidade;623;260;1
3501806;Alta Vulnerabilidade;1495;598;2
3501806;Muito Alta Vulnerabilidade;0;0;0
3501905;Baixíssima Vulnerabilidade;1508;559;3
3501905;Muito Baixa Vulnerabilidade;40931;14957;82
3501905;Baixa Vulnerabilidade;8588;3274;15
3501905;Média Vulnerabilidade;4105;1446;13
3501905;Alta Vulnerabilidade;10970;3724;17
3501905;Muito Alta Vulnerabilidade;359;110;1
3502002;Baixíssima Vulnerabilidade;0;0;0
3502002;Muito Baixa Vulnerabilidade;3885;1430;12
3502002;Baixa Vulnerabilidade;0;0;0
3502002;Média Vulnerabilidade;236;75;1
3502002;Alta Vulnerabilidade;352;135;1
3502002;Muito Alta Vulnerabilidade;0;0;0
3502101;Baixíssima Vulnerabilidade;609;224;1
3502101;Muito Baixa Vulnerabilidade;31310;12137;58
3502101;Baixa Vulnerabilidade;3364;1217;7
3502101;Média Vulnerabilidade;11671;4360;25
3502101;Alta Vulnerabilidade;10572;3831;20
3502101;Muito Alta Vulnerabilidade;0;0;0
3502200;Baixíssima Vulnerabilidade;0;0;0
3502200;Muito Baixa Vulnerabilidade;10341;3676;19
3502200;Baixa Vulnerabilidade;1885;692;4
3502200;Média Vulnerabilidade;7650;2752;16
3502200;Alta Vulnerabilidade;3661;1230;6
3502200;Muito Alta Vulnerabilidade;0;0;0
