municipio;quantidade
"350010 ADAMANTINA";2
"350030 AGUAI";1
"350050 AGUAS DE LINDOIA";1
"350070 AGUDOS";1
"350100 ALTINOPOLIS";1
"350110 ALTO ALEGRE";1
"350130 ALVARES MACHADO";1
"350160 AMERICANA";5
"350170 AMERICO BRASILIENSE";2
"350190 AMPARO";3
"350210 ANDRADINA";2
"350220 ANGATUBA";1
"350250 APARECIDA";1
"350260 APARECIDA D'OESTE";1
"350270 APIAI";1
"350280 ARACATUBA";6
"350290 ARACOIABA DA SERRA";1
"350310 ARANDU";1
"350320 ARARAQUARA";8
"350330 ARARAS";4
"350340 AREALVA";1
"350380 ARTUR NOGUEIRA";4
"350390 ARUJA";1
"350400 ASSIS";4
"350410 ATIBAIA";3
"350420 AURIFLAMA";1
"350450 AVARE";1
"350520 BARIRI";1
"350530 BARRA BONITA";1
"350550 BARRETOS";5
"350570 BARUERI";3
"350580 BASTOS";1
"350590 BATATAIS";1
"350600 BAURU";15
"350610 BEBEDOURO";4
"350630 BERNARDINO DE CAMPOS";1
"350635 BERTIOGA";1
"350640 BILAC";1
"350650 BIRIGUI";2
"350670 BOA ESPERANCA DO SUL";1
"350680 BOCAINA";1
"350700 BOITUVA";1
"350740 BORBOREMA";1
"350750 BOTUCATU";4
"350760 BRAGANCA PAULISTA";4
"350790 BROTAS";1
"350810 BURITAMA";1
"350840 CABREUVA";2
"350850 CACAPAVA";5
"350860 CACHOEIRA PAULISTA";1
"350870 CACONDE";1
"350880 CAFELANDIA";1
"350900 CAIEIRAS";3
"350920 CAJAMAR";1
"350930 CAJOBI";1
"350940 CAJURU";1
"350950 CAMPINAS";24
"350960 CAMPO LIMPO PAULISTA";1
"350970 CAMPOS DO JORDAO";2
"351000 CANDIDO MOTA";1
"351020 CAPAO BONITO";1
"351040 CAPIVARI";2
"351050 CARAGUATATUBA";3
"351060 CARAPICUIBA";2
"351070 CARDOSO";1
"351080 CASA BRANCA";2
"351100 CASTILHO";1
"351110 CATANDUVA";4
"351140 CERQUEIRA CESAR";1
"351150 CERQUILHO";1
"351160 CESARIO LANGE";1
