model;tipo;rank_test_score;mean_train_score;std_train_score;mean_test_score;std_test_score;params;external_r2;external_mae;external_rmse;generalization_gap_cv_external
Gradient Boosting Regressor;GradientBoostingRegressor;1;0.9966736768115814;0.0006190650388945221;0.8250377344996185;0.028557182289055683;{'subsample': 0.6, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 3, 'loss': 'huber', 'learning_rate': 0.15};0.568764727272896;0.0821485784348622;0.11098421527442778;0.2562730072267225
Gradient Boosting Regressor;GradientBoostingRegressor;2;0.9999339111426974;7.149230428046795e-06;0.8229205478271867;0.021608887653204553;{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None, 'max_depth': 3, 'loss': 'squared_error', 'learning_rate': 0.15};0.5791211562902685;0.0790011641033738;0.10964343302468871;0.2437993915369182
Gradient Boosting Regressor;GradientBoostingRegressor;3;0.9947997138833978;0.0009323973523651599;0.8228119864852058;0.024822019277864264;{'subsample': 0.6, 'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': None, 'max_depth': 4, 'loss': 'huber', 'learning_rate': 0.1};0.5589328056615296;0.08043826686724084;0.11224227376593382;0.26387918082367623
Gradient Boosting Regressor;GradientBoostingRegressor;4;0.9845695058738174;0.0016214282491690878;0.8215585001867541;0.026168502954391777;{'subsample': 0.75, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': None, 'max_depth': 3, 'loss': 'huber', 'learning_rate': 0.05};0.5366567424096514;0.08373484131213368;0.11504175574857968;0.2849017577771027
Gradient Boosting Regressor;GradientBoostingRegressor;5;0.9930950384991419;0.0016220846573885435;0.8206096601255559;0.030893801484435924;{'subsample': 1.0, 'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 3, 'loss': 'huber', 'learning_rate': 0.1};0.5648051606348368;0.08255967729629854;0.11149257495831666;0.25580449949071915
Gradient Boosting Regressor;GradientBoostingRegressor;6;0.995034652829083;0.000556093365586219;0.8204457262035326;0.03710056405101072;{'subsample': 1.0, 'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': 5, 'loss': 'squared_error', 'learning_rate': 0.1};0.5532621099402084;0.08117443881241576;0.11296150547310478;0.2671836162633242
Gradient Boosting Regressor;GradientBoostingRegressor;7;0.9884225323339824;0.0016606369192711287;0.8190061810555423;0.029336317158099378;{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 3, 'loss': 'huber', 'learning_rate': 0.12};0.5378733881952145;0.08364702847599807;0.11489061826483968;0.2811327928603279
Gradient Boosting Regressor;GradientBoostingRegressor;8;0.9875747761781206;0.0013249873007554125;0.8184761113652824;0.02315642586590034;{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 0.75, 'max_depth': 2, 'loss': 'squared_error', 'learning_rate': 0.25};0.5418256006676025;0.08344547799275753;0.1143982779313243;0.2766505106976799
Gradient Boosting Regressor;GradientBoostingRegressor;9;0.9998700072443756;1.979927692128454e-05;0.818150012990964;0.034392867200606254;{'subsample': 1.0, 'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': 4, 'loss': 'squared_error', 'learning_rate': 0.1};0.5288982085602277;0.08252508294634685;0.11600092577223232;0.2892518044307363
Gradient Boosting Regressor;GradientBoostingRegressor;10;0.9868512155240925;0.0015501406820186085;0.8164989451139262;0.025246327634666204;{'subsample': 0.6, 'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 3, 'loss': 'huber', 'learning_rate': 0.1};0.5350865606653343;0.08363797264642253;0.115236518146539;0.28141238444859185
Gradient Boosting Regressor;GradientBoostingRegressor;11;0.9902401255741864;0.0005356454521251252;0.8152763027322283;0.04069004982931827;{'subsample': 1.0, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': 5, 'loss': 'squared_error', 'learning_rate': 0.07};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;12;0.9974267100526593;0.00040516155225073306;0.8138670605960516;0.025042214500947214;{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 0.75, 'max_depth': 5, 'loss': 'huber', 'learning_rate': 0.15};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;13;0.9969321930826768;0.00037832524030264675;0.807626189559685;0.03448874864477677;{'subsample': 0.75, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 2, 'loss': 'squared_error', 'learning_rate': 0.2};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;14;0.9917230574611586;0.0008929376295958714;0.8047516761908289;0.04081741244448199;{'subsample': 0.85, 'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': None, 'max_depth': 2, 'loss': 'squared_error', 'learning_rate': 0.2};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;15;0.9900126704165769;0.0014655208889334367;0.8035751211166785;0.03523004607240612;{'subsample': 0.6, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 20, 'max_features': 0.75, 'max_depth': 4, 'loss': 'squared_error', 'learning_rate': 0.2};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;16;0.9999980986656647;5.111269912676117e-07;0.8015518009369602;0.037431000376015315;{'subsample': 1.0, 'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 5, 'loss': 'squared_error', 'learning_rate': 0.15};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;17;0.9804795905602388;0.001702125834306229;0.8014839892645726;0.04452206069357604;{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 0.5, 'max_depth': 3, 'loss': 'squared_error', 'learning_rate': 0.2};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;18;0.9983271478466316;0.0004538986247258545;0.800962717558952;0.03889504153541598;{'subsample': 0.85, 'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': 3, 'loss': 'squared_error', 'learning_rate': 0.2};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;19;0.9991350108133477;0.0007185917619500966;0.8005437249051646;0.038009509012984555;{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 4, 'loss': 'huber', 'learning_rate': 0.2};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;20;0.947341275814099;0.003770260833587925;0.7997119655652349;0.027385427153995338;{'subsample': 0.75, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': None, 'max_depth': 2, 'loss': 'huber', 'learning_rate': 0.1};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;21;0.959905142687688;0.002430631964693035;0.7991222400849418;0.024384726374042983;{'subsample': 0.75, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 3, 'loss': 'huber', 'learning_rate': 0.1};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;22;0.9688098264070083;0.0028362657250520797;0.7979010764371297;0.02815514036406346;{'subsample': 0.85, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 0.5, 'max_depth': 5, 'loss': 'absolute_error', 'learning_rate': 0.12};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;23;0.9999999844483034;6.079431292647938e-09;0.7972351724685127;0.03336049514824753;{'subsample': 0.85, 'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.75, 'max_depth': 5, 'loss': 'squared_error', 'learning_rate': 0.15};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;24;0.9409378300386194;0.004118843996377181;0.79669681280584;0.02846359503083162;{'subsample': 0.75, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': None, 'max_depth': 4, 'loss': 'absolute_error', 'learning_rate': 0.07};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;25;0.978957056076708;0.002239718638410613;0.7942305561482615;0.014312655380413876;{'subsample': 0.85, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': None, 'max_depth': 5, 'loss': 'absolute_error', 'learning_rate': 0.15};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;26;0.9982549712529402;0.0002879961972682624;0.7938532212179823;0.030019541808073626;{'subsample': 0.85, 'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 5, 'loss': 'huber', 'learning_rate': 0.15};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;27;0.9943969773448771;0.0013534687434382684;0.7923537968817612;0.03284139477879957;{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 5, 'loss': 'huber', 'learning_rate': 0.05};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;28;0.9257473127485957;0.0027467528311727234;0.7918537853629147;0.029079975335297117;{'subsample': 0.85, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 2, 'loss': 'huber', 'learning_rate': 0.07};;;;
Gradient Boosting Regressor;GradientBoostingRegressor;29;0.9558264496236049;0.005906247536886136;0.7899897125467851;0.03738234277967421;{'subsample': 0.6, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 0.75, 'max_depth': 4, 'loss': 'absolute_error', 'learning_rate': 0.15};;;;
