dataset;pca_type;candidate;n_components;svd_solver;retained_variance;reconstruction_mse;params;rank
main_dataframe;PCA;22;30;full;0.9952277092390156;0.0046467041620111725;{'n_components': 30, 'svd_solver': 'full'};1
main_dataframe;PCA;21;30;auto;0.9952275437921622;0.004646865255000682;{'n_components': 30, 'svd_solver': 'auto'};2
main_dataframe;PCA;20;25;full;0.9925537149921585;0.007250330139214046;{'n_components': 25, 'svd_solver': 'full'};3
main_dataframe;PCA;19;25;auto;0.9925535749730603;0.007250466473599783;{'n_components': 25, 'svd_solver': 'auto'};4
main_dataframe;PCA;18;20;full;0.9877017884837828;0.01197457437105361;{'n_components': 20, 'svd_solver': 'full'};5
main_dataframe;PCA;17;20;auto;0.9877017347604173;0.011974626680647107;{'n_components': 20, 'svd_solver': 'auto'};6
main_dataframe;PCA;16;15;full;0.9792963529969688;0.020158814187162127;{'n_components': 15, 'svd_solver': 'full'};7
main_dataframe;PCA;15;15;auto;0.979296343033843;0.020158823888100533;{'n_components': 15, 'svd_solver': 'auto'};8
main_dataframe;PCA;14;12;full;0.9709393164562204;0.0282959287136802;{'n_components': 12, 'svd_solver': 'full'};9
main_dataframe;PCA;13;12;auto;0.9709393158370011;0.02829592931660412;{'n_components': 12, 'svd_solver': 'auto'};10
main_dataframe;PCA;12;10;full;0.9601014685581669;0.0388485700881007;{'n_components': 10, 'svd_solver': 'full'};11
main_dataframe;PCA;11;10;auto;0.9601014682065742;0.03884857043044119;{'n_components': 10, 'svd_solver': 'auto'};12
main_dataframe;PCA;10;8;full;0.946085445749002;0.05249575019176127;{'n_components': 8, 'svd_solver': 'full'};13
main_dataframe;PCA;9;8;auto;0.9460854251348749;0.05249577026341085;{'n_components': 8, 'svd_solver': 'auto'};14
main_dataframe;PCA;8;5;full;0.9115533728161882;0.0861190843631852;{'n_components': 5, 'svd_solver': 'full'};15
main_dataframe;PCA;7;5;auto;0.9115533728161233;0.08611908436324829;{'n_components': 5, 'svd_solver': 'auto'};16
main_dataframe;PCA;6;4;full;0.8962761961330538;0.10099423008097405;{'n_components': 4, 'svd_solver': 'full'};17
main_dataframe;PCA;5;4;auto;0.8962761961330525;0.10099423008097501;{'n_components': 4, 'svd_solver': 'auto'};18
main_dataframe;PCA;4;3;full;0.8793494776838131;0.1174755085710242;{'n_components': 3, 'svd_solver': 'full'};19
main_dataframe;PCA;3;3;auto;0.879349477683812;0.11747550857102444;{'n_components': 3, 'svd_solver': 'auto'};20
main_dataframe;PCA;1;2;auto;0.8587181845077808;0.1375638729792663;{'n_components': 2, 'svd_solver': 'auto'};21
main_dataframe;PCA;2;2;full;0.8587181845077806;0.13756387297926634;{'n_components': 2, 'svd_solver': 'full'};22
