component;explained_variance_ratio;cumulative_variance
1;0.8264889100130777;0.8264889100130777
2;0.03222927449470287;0.8587181845077806
3;0.020631293176032472;0.8793494776838131
4;0.016926718449240603;0.8962761961330538
5;0.015277176683134495;0.9115533728161882
6;0.013540086046100642;0.9250934588622889
7;0.012245739240011731;0.9373391981023006
8;0.008746247646701474;0.9460854457490021
9;0.0074676185222312605;0.9535530642712333
10;0.006548404286933664;0.960101468558167
11;0.0058941417588047225;0.9659956103169718
12;0.004943706139248759;0.9709393164562206
13;0.0031739400426439163;0.9741132564988645
14;0.002862327927213482;0.976975584426078
15;0.002320768570890898;0.9792963529969689
16;0.0021343324762445734;0.9814306854732135
17;0.001800901943302741;0.9832315874165163
18;0.0016821464447291064;0.9849137338612454
19;0.001451336153587824;0.9863650700148332
20;0.0013367184689499205;0.9877017884837831
21;0.0012787114578371441;0.9889804999416202
22;0.0011060944688763858;0.9900865944104966
23;0.0008943529955232119;0.9909809474060198
24;0.000833492810175016;0.9918144402161948
25;0.0007392747759640098;0.9925537149921588
26;0.0006441983574227626;0.9931979133495816
27;0.0005928400164257418;0.9937907533660074
28;0.0005345998304210264;0.9943253531964285
29;0.00046872419466828627;0.9947940773910967
30;0.00043363184791919067;0.9952277092390159
31;0.00040507954240325786;0.9956327887814191
32;0.0003730371845591096;0.9960058259659782
33;0.0003407630077123484;0.9963465889736906
34;0.0003200147338517512;0.9966666037075423
35;0.0003056672850826391;0.996972270992625
36;0.0002561148560608799;0.9972283858486859
37;0.00023631540943501437;0.9974647012581209
38;0.00021076031128059648;0.9976754615694016
39;0.000205869929304287;0.9978813314987058
40;0.00020448182633584546;0.9980858133250416
41;0.00017699169728141253;0.998262805022323
42;0.00015150266932778146;0.9984143076916507
43;0.00014186833111996087;0.9985561760227707
44;0.0001355208192663268;0.9986916968420371
45;0.00012844330959436322;0.9988201401516315
46;0.00011344056057511024;0.9989335807122066
47;0.00010161009128335517;0.99903519080349
48;9.133989299715501e-05;0.9991265306964872
49;8.855993400746531e-05;0.9992150906304946
50;8.208066536850592e-05;0.9992971712958632
51;7.67546833912294e-05;0.9993739259792543
52;7.251525182933434e-05;0.9994464412310837
53;6.573484185992714e-05;0.9995121760729436
54;6.441221636072708e-05;0.9995765882893044
55;5.467331849064358e-05;0.999631261607795
56;4.7791846020532815e-05;0.9996790534538156
57;4.3277494868714243e-05;0.9997223309486843
58;4.041239103647939e-05;0.9997627433397208
59;3.642439825532312e-05;0.9997991677379762
60;3.384600065372903e-05;0.9998330137386299
61;3.179984059744534e-05;0.9998648135792273
62;2.8831017097025502e-05;0.9998936445963243
63;2.165004321260008e-05;0.999915294639537
64;1.7741093586924873e-05;0.9999330357331239
65;1.3553371919408325e-05;0.9999465891050433
66;1.295799460521419e-05;0.9999595470996485
67;1.166667333727722e-05;0.9999712137729858
68;1.0101271838397406e-05;0.9999813150448242
69;8.04886782312606e-06;0.9999893639126474
70;5.40943867442742e-06;0.9999947733513218
71;3.4076636695240396e-06;0.9999981810149914
72;8.386018968449177e-07;0.9999990196168882
73;6.136036840311864e-07;0.9999996332205723
74;3.6677942839663535e-07;1.0000000000000007
75;7.311002553610118e-33;1.0000000000000007
76;7.311002553610118e-33;1.0000000000000007
